Track,Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
Albert Park,1,Franc Abel,Shell Motorsports,1:18.352,1:18.385,1:18.187,1:18.229,1:18.297,1:18.187,-,POLE
Albert Park,2,Berend Boer,Shell Motorsports,1:18.243,1:18.425,1:18.316,1:18.390,1:18.428,1:18.243,+0.056,+0.056
Albert Park,3,Kanno Sora,LFL Engineering,1:18.568,1:18.473,1:18.353,1:18.296,1:18.459,1:18.296,+0.053,+0.109
Albert Park,4,Eli Huertez,Pulang Kabayo Racing,1:18.426,1:18.510,1:18.522,1:18.477,1:18.318,1:18.318,+0.021,+0.130
Albert Park,5,Mark Graham,Trike Motorsports,1:18.556,1:18.578,1:18.534,1:18.374,1:18.509,1:18.374,+0.057,+0.187
Albert Park,6,Jamar Henry,Trike Motorsports,1:18.455,1:18.511,1:18.414,1:18.383,1:18.517,1:18.383,+0.009,+0.196
Albert Park,7,Al Fabet,Villiuride Racing,1:18.430,1:18.608,1:18.647,1:18.677,1:18.712,1:18.430,+0.047,+0.243
Albert Park,8,Fidan Basak,Pulang Kabayo Racing,1:18.699,1:18.591,1:18.605,1:18.530,1:18.578,1:18.530,+0.100,+0.343
Albert Park,9,Sydney Aspen,Villiuride Racing,1:18.635,1:18.686,1:18.669,1:18.533,1:18.629,1:18.533,+0.002,+0.345
Albert Park,10,Monica Niculescu,Dacia Racing Team,1:18.726,1:18.594,1:18.568,1:18.563,1:18.626,1:18.563,+0.030,+0.376
Albert Park,11,Liesje Roser,Dacia Racing Team,1:18.708,1:18.679,1:18.724,1:18.682,1:18.565,1:18.565,+0.002,+0.377
Albert Park,12,Aleksa Kozlov,LFL Engineering,1:18.613,1:18.572,1:18.565,1:18.808,1:18.603,1:18.565,+0.000,+0.378
Albert Park,13,Damien Quibuyen,Mercedes AMG Motorsport,1:18.598,1:18.711,1:18.782,1:18.697,1:18.710,1:18.598,+0.033,+0.411
Albert Park,14,Ananda Chohan,Mercedes AMG Motorsport,1:18.843,1:18.709,1:19.024,1:18.795,1:18.860,1:18.709,+0.112,+0.522
Albert Park,15,Ye Li,Racing Life,1:18.776,1:18.779,1:18.726,1:18.869,1:18.809,1:18.726,+0.016,+0.539
Albert Park,16,Niamh Murphy,Racing Life,1:18.935,1:18.940,1:18.854,1:19.047,1:18.752,1:18.752,+0.027,+0.565
Albert Park,17,Aida Haque,Icarus,1:18.931,1:19.050,1:18.803,1:18.959,1:19.137,1:18.803,+0.051,+0.616
Albert Park,18,Clara Longo,Icarus,1:19.102,1:19.059,1:19.164,1:19.302,1:19.126,1:19.059,+0.256,+0.872
