Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
1,Jamar Henry,Trike Motorsports,0:01.200,0:01.248,0:01.230,0:01.287,0:01.121,0:01.121,-,POLE
2,Al Fabet,Villiuride Racing,0:01.173,0:01.259,0:01.202,0:01.377,0:01.293,0:01.173,+0.052,+0.052
3,Mark Graham,Trike Motorsports,0:01.373,0:01.581,0:01.377,0:01.454,0:01.176,0:01.176,+0.003,+0.056
4,Sydney Aspen,Villiuride Racing,0:01.348,0:01.317,0:01.285,0:01.273,0:01.301,0:01.273,+0.097,+0.152
5,Damien Quibuyen,Mercedes AMG Motorsport,0:02.287,0:01.999,0:02.315,0:02.151,0:02.417,0:01.999,+0.726,+0.879
6,Ye Li,Racing Life,0:02.212,0:02.324,0:02.529,0:02.172,0:02.499,0:02.172,+0.173,+1.052
7,Berend Boer,Orange Wheel Racing,0:02.206,0:02.378,0:02.290,0:02.405,0:02.253,0:02.206,+0.034,+1.085
8,Franc Abel,Orange Wheel Racing,0:02.526,0:02.404,0:02.548,0:02.367,0:02.426,0:02.367,+0.161,+1.246
9,Kanno Sora,LFL Engineering,0:02.689,0:02.866,0:02.823,0:02.810,0:02.859,0:02.689,+0.322,+1.569
10,Aida Haque,Scuderia Ivanov Racing,0:02.998,0:02.885,0:03.044,0:02.883,0:02.908,0:02.883,+0.193,+1.762
11,Aleksa Kozlov,LFL Engineering,0:03.045,0:03.037,0:03.151,0:03.032,0:03.020,0:03.020,+0.138,+1.900
12,Ananda Chohan,Mercedes AMG Motorsport,0:03.465,0:03.449,0:03.431,0:03.479,0:03.222,0:03.222,+0.202,+2.102
13,Monica Niculescu,Dacia Racing Team,0:03.947,0:03.898,0:03.944,0:04.002,0:03.953,0:03.898,+0.676,+2.777
14,Niamh Murphy,Racing Life,0:04.088,0:04.273,0:04.099,0:04.174,0:04.184,0:04.088,+0.190,+2.967
15,Eli Huertez,Pulang Kabayo Racing,0:04.243,0:04.327,0:04.226,0:04.290,0:04.333,0:04.226,+0.139,+3.106
16,Nelson Ramsey,Scuderia Ivanov Racing,0:05.148,0:04.781,0:04.919,0:05.045,0:05.036,0:04.781,+0.554,+3.660
17,Fidan Basak,Pulang Kabayo Racing,0:05.108,0:05.048,0:04.870,0:05.205,0:05.135,0:04.870,+0.089,+3.749
18,Liesje Roser,Dacia Racing Team,0:05.475,0:05.580,0:05.524,0:05.354,0:05.474,0:05.354,+0.484,+4.234
19,Thorleif Valtyrsdotter,OHSN Racing,0:06.238,0:06.446,0:06.176,0:06.346,0:06.234,0:06.176,+0.822,+5.055
20,Erwin Kramer,OHSN Racing,0:07.198,0:07.052,0:07.087,0:07.166,0:07.126,0:07.052,+0.876,+5.932
