Track,Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
Spa Francorchamps,1,Berend Boer,Shell Motorsports,1:18.295,1:18.143,1:18.276,1:18.362,1:18.314,1:18.143,-,POLE
Spa Francorchamps,2,Franc Abel,Shell Motorsports,1:18.184,1:18.270,1:18.300,1:18.148,1:18.229,1:18.148,+0.005,+0.005
Spa Francorchamps,3,Liesje Roser,Dacia Racing Team,1:18.333,1:18.607,1:18.569,1:18.634,1:18.543,1:18.333,+0.185,+0.190
Spa Francorchamps,4,Eli Huertez,Pulang Kabayo Racing,1:18.448,1:18.415,1:18.400,1:18.435,1:18.337,1:18.337,+0.004,+0.194
Spa Francorchamps,5,Kanno Sora,LFL Engineering,1:18.485,1:18.504,1:18.610,1:18.345,1:18.362,1:18.345,+0.008,+0.202
Spa Francorchamps,6,Jamar Henry,Trike Motorsports,1:18.410,1:18.348,1:18.477,1:18.471,1:18.437,1:18.348,+0.003,+0.204
Spa Francorchamps,7,Mark Graham,Trike Motorsports,1:18.457,1:18.379,1:18.377,1:18.437,1:18.374,1:18.374,+0.027,+0.231
Spa Francorchamps,8,Sydney Aspen,Villiuride Racing,1:18.573,1:18.648,1:18.575,1:18.532,1:18.421,1:18.421,+0.047,+0.278
Spa Francorchamps,9,Al Fabet,Villiuride Racing,1:18.453,1:18.592,1:18.445,1:18.645,1:18.748,1:18.445,+0.024,+0.302
Spa Francorchamps,10,Monica Niculescu,Dacia Racing Team,1:18.497,1:18.558,1:18.467,1:18.480,1:18.544,1:18.467,+0.022,+0.324
Spa Francorchamps,11,Aleksa Kozlov,LFL Engineering,1:18.537,1:18.493,1:18.561,1:18.520,1:18.595,1:18.493,+0.026,+0.350
Spa Francorchamps,12,Fidan Basak,Pulang Kabayo Racing,1:18.534,1:18.511,1:18.709,1:18.583,1:18.658,1:18.511,+0.018,+0.368
Spa Francorchamps,13,Ananda Chohan,Mercedes AMG Motorsport,1:18.654,1:18.746,1:18.692,1:18.719,1:18.521,1:18.521,+0.010,+0.378
Spa Francorchamps,14,Damien Quibuyen,Mercedes AMG Motorsport,1:18.615,1:18.556,1:18.598,1:18.653,1:18.737,1:18.556,+0.035,+0.413
Spa Francorchamps,15,Ye Li,Racing Life,1:18.634,1:18.706,1:18.776,1:18.590,1:18.736,1:18.590,+0.034,+0.447
Spa Francorchamps,16,Niamh Murphy,Racing Life,1:18.922,1:18.669,1:18.821,1:18.768,1:18.812,1:18.669,+0.079,+0.525
Spa Francorchamps,17,Aida Haque,Icarus,1:18.890,1:18.949,1:18.900,1:18.885,1:18.965,1:18.885,+0.216,+0.741
Spa Francorchamps,18,Clara Longo,Icarus,1:19.050,1:19.269,1:19.143,1:19.232,1:19.178,1:19.050,+0.165,+0.907
