Track,Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
Silverstone,1,Berend Boer,Shell Motorsports,1:18.071,1:17.949,1:18.157,1:18.176,1:18.074,1:17.949,-,POLE
Silverstone,2,Franc Abel,Shell Motorsports,1:18.186,1:18.065,1:18.092,1:18.068,1:18.041,1:18.041,+0.092,+0.092
Silverstone,3,Damien Quibuyen,Mercedes AMG Motorsport,1:18.080,1:18.266,1:18.159,1:18.268,1:18.104,1:18.080,+0.038,+0.130
Silverstone,4,Mark Graham,Trike Motorsports,1:18.152,1:18.127,1:18.247,1:18.334,1:18.224,1:18.127,+0.047,+0.177
Silverstone,5,Ye Li,Racing Life,1:18.193,1:18.235,1:18.531,1:18.405,1:18.650,1:18.193,+0.066,+0.244
Silverstone,6,Ananda Chohan,Mercedes AMG Motorsport,1:18.199,1:18.362,1:18.245,1:18.305,1:18.316,1:18.199,+0.006,+0.250
Silverstone,7,Monica Niculescu,Dacia Racing Team,1:18.407,1:18.454,1:18.447,1:18.391,1:18.203,1:18.203,+0.004,+0.254
Silverstone,8,Jamar Henry,Trike Motorsports,1:18.372,1:18.430,1:18.219,1:18.306,1:18.227,1:18.219,+0.016,+0.270
Silverstone,9,Sydney Aspen,Villiuride Racing,1:18.449,1:18.350,1:18.373,1:18.251,1:18.287,1:18.251,+0.032,+0.302
Silverstone,10,Kanno Sora,LFL Engineering,1:18.261,1:18.307,1:18.530,1:18.346,1:18.335,1:18.261,+0.010,+0.311
Silverstone,11,Aleksa Kozlov,LFL Engineering,1:18.530,1:18.273,1:18.400,1:18.431,1:18.429,1:18.273,+0.012,+0.323
Silverstone,12,Eli Huertez,Pulang Kabayo Racing,1:18.377,1:18.339,1:18.321,1:18.337,1:18.300,1:18.300,+0.027,+0.351
Silverstone,13,Niamh Murphy,Racing Life,1:18.374,1:18.362,1:18.387,1:18.319,1:18.425,1:18.319,+0.019,+0.369
Silverstone,14,Al Fabet,Villiuride Racing,1:18.359,1:18.397,1:18.347,1:18.482,1:18.467,1:18.347,+0.028,+0.397
Silverstone,15,Fidan Basak,Pulang Kabayo Racing,1:18.498,1:18.554,1:18.478,1:18.601,1:18.456,1:18.456,+0.110,+0.507
Silverstone,16,Liesje Roser,Dacia Racing Team,1:18.468,1:18.484,1:18.532,1:18.469,1:18.541,1:18.468,+0.012,+0.519
Silverstone,17,Aida Haque,Icarus,1:18.590,1:18.635,1:18.561,1:18.747,1:18.635,1:18.561,+0.092,+0.611
Silverstone,18,Clara Longo,Icarus,1:18.987,1:18.875,1:18.950,1:18.979,1:19.075,1:18.875,+0.314,+0.925
