Track,Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
Silverstone,1,Sydney Aspen,Villiuride Racing,1:18.009,1:17.900,1:18.109,1:17.915,1:17.961,1:17.900,-,POLE
Silverstone,2,Jamar Henry,Trike Motorsports,1:18.203,1:18.055,1:17.964,1:18.138,1:18.208,1:17.964,+0.064,+0.064
Silverstone,3,Mark Graham,Trike Motorsports,1:18.171,1:18.146,1:18.077,1:18.089,1:17.970,1:17.970,+0.006,+0.070
Silverstone,4,Al Fabet,Villiuride Racing,1:18.197,1:18.185,1:18.100,1:17.998,1:18.103,1:17.998,+0.028,+0.098
Silverstone,5,Kanno Sora,LFL Engineering,1:18.076,1:18.122,1:18.208,1:18.261,1:18.218,1:18.076,+0.078,+0.176
Silverstone,6,Damien Quibuyen,Mercedes AMG Motorsport,1:18.095,1:18.296,1:18.124,1:18.141,1:18.096,1:18.095,+0.019,+0.195
Silverstone,7,Aida Haque,Scuderia Ivanov Racing,1:18.217,1:18.167,1:18.248,1:18.182,1:18.101,1:18.101,+0.006,+0.201
Silverstone,8,Franc Abel,Orange Wheel Racing,1:18.130,1:18.155,1:18.248,1:18.220,1:18.121,1:18.121,+0.020,+0.221
Silverstone,9,Berend Boer,Orange Wheel Racing,1:18.135,1:18.221,1:18.301,1:18.287,1:18.240,1:18.135,+0.015,+0.235
Silverstone,10,Aleksa Kozlov,LFL Engineering,1:18.181,1:18.181,1:18.291,1:18.298,1:18.423,1:18.181,+0.046,+0.281
Silverstone,11,Ananda Chohan,Mercedes AMG Motorsport,1:18.395,1:18.206,1:18.256,1:18.417,1:18.439,1:18.206,+0.025,+0.306
Silverstone,12,Ye Li,Racing Life,1:18.244,1:18.212,1:18.234,1:18.353,1:18.248,1:18.212,+0.007,+0.312
Silverstone,13,Eli Huertez,Pulang Kabayo Racing,1:18.390,1:18.256,1:18.473,1:18.220,1:18.462,1:18.220,+0.008,+0.320
Silverstone,14,Niamh Murphy,Racing Life,1:18.249,1:18.397,1:18.451,1:18.464,1:18.317,1:18.249,+0.029,+0.349
Silverstone,15,Monica Niculescu,Dacia Racing Team,1:18.357,1:18.550,1:18.413,1:18.299,1:18.277,1:18.277,+0.027,+0.377
Silverstone,16,Nelson Ramsey,Scuderia Ivanov Racing,1:18.507,1:18.450,1:18.457,1:18.509,1:18.386,1:18.386,+0.109,+0.486
Silverstone,17,Fidan Basak,Pulang Kabayo Racing,1:18.491,1:18.557,1:18.423,1:18.463,1:18.418,1:18.418,+0.032,+0.518
Silverstone,18,Liesje Roser,Dacia Racing Team,1:18.550,1:18.518,1:18.495,1:18.483,1:18.628,1:18.483,+0.065,+0.583
Silverstone,19,Thorleif Valtyrsdotter,OHSN Racing,1:18.652,1:18.586,1:18.619,1:18.520,1:18.674,1:18.520,+0.038,+0.620
Silverstone,20,Erwin Kramer,OHSN Racing,1:18.675,1:18.742,1:18.777,1:18.633,1:18.889,1:18.633,+0.113,+0.733
