Track,Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
Silverstone,1,Franc Abel,Shell Motorsports,1:18.260,1:18.367,1:18.381,1:18.206,1:18.406,1:18.206,-,POLE
Silverstone,2,Berend Boer,Shell Motorsports,1:18.230,1:18.370,1:18.426,1:18.434,1:18.535,1:18.230,+0.024,+0.024
Silverstone,3,Eli Huertez,Pulang Kabayo Racing,1:18.458,1:18.482,1:18.376,1:18.356,1:18.343,1:18.343,+0.113,+0.136
Silverstone,4,Mark Graham,Trike Motorsports,1:18.604,1:18.389,1:18.466,1:18.483,1:18.411,1:18.389,+0.047,+0.183
Silverstone,5,Jamar Henry,Trike Motorsports,1:18.542,1:18.476,1:18.644,1:18.546,1:18.405,1:18.405,+0.016,+0.199
Silverstone,6,Kanno Sora,LFL Engineering,1:18.432,1:18.516,1:18.423,1:18.501,1:18.443,1:18.423,+0.017,+0.217
Silverstone,7,Aleksa Kozlov,LFL Engineering,1:18.597,1:18.501,1:18.486,1:18.436,1:18.439,1:18.436,+0.014,+0.230
Silverstone,8,Monica Niculescu,Dacia Racing Team,1:18.539,1:18.571,1:18.441,1:18.505,1:18.553,1:18.441,+0.005,+0.235
Silverstone,9,Fidan Basak,Pulang Kabayo Racing,1:18.495,1:18.452,1:18.571,1:18.537,1:18.563,1:18.452,+0.011,+0.246
Silverstone,10,Al Fabet,Villiuride Racing,1:18.633,1:18.528,1:18.667,1:18.616,1:18.512,1:18.512,+0.059,+0.306
Silverstone,11,Sydney Aspen,Villiuride Racing,1:18.563,1:18.739,1:18.525,1:18.559,1:18.607,1:18.525,+0.013,+0.319
Silverstone,12,Liesje Roser,Dacia Racing Team,1:18.648,1:18.574,1:18.728,1:18.658,1:18.600,1:18.574,+0.049,+0.368
Silverstone,13,Damien Quibuyen,Mercedes AMG Motorsport,1:18.752,1:18.707,1:18.807,1:18.863,1:18.878,1:18.707,+0.133,+0.501
Silverstone,14,Ye Li,Racing Life,1:19.055,1:18.936,1:18.773,1:18.725,1:18.783,1:18.725,+0.018,+0.519
Silverstone,15,Niamh Murphy,Racing Life,1:18.737,1:18.966,1:18.858,1:18.816,1:18.858,1:18.737,+0.012,+0.531
Silverstone,16,Aida Haque,Icarus,1:18.833,1:18.782,1:18.892,1:18.765,1:18.737,1:18.737,+0.000,+0.531
Silverstone,17,Ananda Chohan,Mercedes AMG Motorsport,1:18.920,1:18.976,1:18.852,1:18.997,1:18.902,1:18.852,+0.115,+0.646
Silverstone,18,Clara Longo,Icarus,1:18.983,1:18.897,1:19.076,1:19.016,1:19.106,1:18.897,+0.045,+0.691
