Track,Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
Monaco,1,Franc Abel,Shell Motorsports,1:18.186,1:18.224,1:18.014,1:18.314,1:18.042,1:18.014,-,POLE
Monaco,2,Damien Quibuyen,Mercedes AMG Motorsport,1:18.055,1:18.157,1:18.233,1:18.103,1:18.078,1:18.055,+0.041,+0.041
Monaco,3,Berend Boer,Shell Motorsports,1:18.058,1:18.151,1:18.165,1:18.355,1:18.137,1:18.058,+0.003,+0.044
Monaco,4,Ananda Chohan,Mercedes AMG Motorsport,1:18.300,1:18.211,1:18.205,1:18.285,1:18.086,1:18.086,+0.028,+0.072
Monaco,5,Ye Li,Racing Life,1:18.209,1:18.180,1:18.306,1:18.210,1:18.227,1:18.180,+0.094,+0.165
Monaco,6,Mark Graham,Trike Motorsports,1:18.532,1:18.254,1:18.491,1:18.408,1:18.441,1:18.254,+0.074,+0.240
Monaco,7,Niamh Murphy,Racing Life,1:18.364,1:18.313,1:18.289,1:18.313,1:18.518,1:18.289,+0.035,+0.275
Monaco,8,Sydney Aspen,Villiuride Racing,1:18.465,1:18.351,1:18.359,1:18.411,1:18.447,1:18.351,+0.061,+0.336
Monaco,9,Eli Huertez,Pulang Kabayo Racing,1:18.483,1:18.415,1:18.352,1:18.480,1:18.556,1:18.352,+0.001,+0.337
Monaco,10,Monica Niculescu,Dacia Racing Team,1:18.431,1:18.363,1:18.680,1:18.581,1:18.591,1:18.363,+0.011,+0.349
Monaco,11,Kanno Sora,LFL Engineering,1:18.679,1:18.660,1:18.425,1:18.420,1:18.423,1:18.420,+0.057,+0.406
Monaco,12,Liesje Roser,Dacia Racing Team,1:18.424,1:18.509,1:18.485,1:18.513,1:18.488,1:18.424,+0.005,+0.410
Monaco,13,Al Fabet,Villiuride Racing,1:18.452,1:18.487,1:18.500,1:18.506,1:18.549,1:18.452,+0.028,+0.438
Monaco,14,Jamar Henry,Trike Motorsports,1:18.506,1:18.463,1:18.570,1:18.498,1:18.517,1:18.463,+0.010,+0.448
Monaco,15,Aleksa Kozlov,LFL Engineering,1:18.624,1:18.654,1:18.494,1:18.618,1:18.569,1:18.494,+0.032,+0.480
Monaco,16,Fidan Basak,Pulang Kabayo Racing,1:18.652,1:18.663,1:18.625,1:18.597,1:18.739,1:18.597,+0.103,+0.583
Monaco,17,Clara Longo,Icarus,1:18.683,1:18.753,1:18.881,1:18.635,1:18.934,1:18.635,+0.038,+0.621
Monaco,18,Aida Haque,Icarus,1:18.907,1:18.880,1:18.767,1:18.794,1:18.861,1:18.767,+0.131,+0.752
