Track,Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
Hungaroring,1,Franc Abel,Shell Motorsports,1:18.258,1:18.271,1:18.213,1:18.196,1:18.102,1:18.102,-,POLE
Hungaroring,2,Berend Boer,Shell Motorsports,1:18.145,1:18.191,1:18.190,1:18.232,1:18.272,1:18.145,+0.043,+0.043
Hungaroring,3,Mark Graham,Trike Motorsports,1:18.379,1:18.403,1:18.449,1:18.190,1:18.298,1:18.190,+0.045,+0.088
Hungaroring,4,Ananda Chohan,Mercedes AMG Motorsport,1:18.355,1:18.387,1:18.264,1:18.404,1:18.230,1:18.230,+0.040,+0.128
Hungaroring,5,Fidan Basak,Pulang Kabayo Racing,1:18.560,1:18.441,1:18.382,1:18.243,1:18.524,1:18.243,+0.014,+0.141
Hungaroring,6,Damien Quibuyen,Mercedes AMG Motorsport,1:18.260,1:18.274,1:18.374,1:18.338,1:18.376,1:18.260,+0.017,+0.158
Hungaroring,7,Ye Li,Racing Life,1:18.324,1:18.286,1:18.317,1:18.355,1:18.316,1:18.286,+0.026,+0.184
Hungaroring,8,Al Fabet,Villiuride Racing,1:18.493,1:18.291,1:18.430,1:18.583,1:18.551,1:18.291,+0.006,+0.189
Hungaroring,9,Kanno Sora,LFL Engineering,1:18.330,1:18.465,1:18.520,1:18.376,1:18.462,1:18.330,+0.039,+0.228
Hungaroring,10,Eli Huertez,Pulang Kabayo Racing,1:18.338,1:18.418,1:18.423,1:18.378,1:18.514,1:18.338,+0.008,+0.236
Hungaroring,11,Jamar Henry,Trike Motorsports,1:18.491,1:18.345,1:18.405,1:18.430,1:18.491,1:18.345,+0.006,+0.243
Hungaroring,12,Niamh Murphy,Racing Life,1:18.438,1:18.359,1:18.373,1:18.596,1:18.493,1:18.359,+0.014,+0.257
Hungaroring,13,Aleksa Kozlov,LFL Engineering,1:18.603,1:18.628,1:18.667,1:18.431,1:18.432,1:18.431,+0.072,+0.329
Hungaroring,14,Sydney Aspen,Villiuride Racing,1:18.494,1:18.647,1:18.580,1:18.497,1:18.521,1:18.494,+0.063,+0.392
Hungaroring,15,Liesje Roser,Dacia Racing Team,1:18.592,1:18.690,1:18.554,1:18.545,1:18.595,1:18.545,+0.051,+0.443
Hungaroring,16,Marek Madeira,Dacia Racing Team,1:18.796,1:18.790,1:18.572,1:18.740,1:18.811,1:18.572,+0.026,+0.470
Hungaroring,17,Aida Haque,Icarus,1:18.781,1:18.910,1:18.986,1:18.876,1:18.851,1:18.781,+0.209,+0.679
Hungaroring,18,Clara Longo,Icarus,1:19.004,1:18.949,1:19.111,1:19.020,1:18.860,1:18.860,+0.079,+0.758
