Track,Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
Mugello,1,Franc Abel,Shell Motorsports,1:18.036,1:18.229,1:18.112,1:18.171,1:17.996,1:17.996,-,POLE
Mugello,2,Mark Graham,Trike Motorsports,1:18.177,1:18.058,1:18.312,1:18.283,1:18.285,1:18.058,+0.062,+0.062
Mugello,3,Jamar Henry,Trike Motorsports,1:18.159,1:18.230,1:18.121,1:18.469,1:18.427,1:18.121,+0.063,+0.125
Mugello,4,Berend Boer,Shell Motorsports,1:18.294,1:18.195,1:18.121,1:18.344,1:18.123,1:18.121,+0.000,+0.125
Mugello,5,Eli Huertez,Pulang Kabayo Racing,1:18.255,1:18.389,1:18.262,1:18.381,1:18.311,1:18.255,+0.134,+0.258
Mugello,6,Sydney Aspen,Villiuride Racing,1:18.398,1:18.294,1:18.391,1:18.402,1:18.471,1:18.294,+0.039,+0.298
Mugello,7,Al Fabet,Villiuride Racing,1:18.362,1:18.321,1:18.583,1:18.628,1:18.464,1:18.321,+0.027,+0.324
Mugello,8,Kanno Sora,LFL Engineering,1:18.418,1:18.382,1:18.333,1:18.521,1:18.387,1:18.333,+0.013,+0.337
Mugello,9,Fidan Basak,Pulang Kabayo Racing,1:18.562,1:18.451,1:18.345,1:18.517,1:18.567,1:18.345,+0.012,+0.349
Mugello,10,Aleksa Kozlov,LFL Engineering,1:18.512,1:18.455,1:18.435,1:18.398,1:18.408,1:18.398,+0.052,+0.401
Mugello,11,Damien Quibuyen,Mercedes AMG Motorsport,1:18.435,1:18.410,1:18.426,1:18.405,1:18.414,1:18.405,+0.008,+0.409
Mugello,12,Liesje Roser,Dacia Racing Team,1:18.453,1:18.558,1:18.486,1:18.575,1:18.453,1:18.453,+0.048,+0.457
Mugello,13,Ye Li,Racing Life,1:18.561,1:18.604,1:18.457,1:18.564,1:18.587,1:18.457,+0.004,+0.461
Mugello,14,Ananda Chohan,Mercedes AMG Motorsport,1:18.749,1:18.634,1:18.716,1:18.590,1:18.483,1:18.483,+0.026,+0.487
Mugello,15,Marek Madeira,Dacia Racing Team,1:18.680,1:18.758,1:18.520,1:18.761,1:18.587,1:18.520,+0.037,+0.524
Mugello,16,Niamh Murphy,Racing Life,1:18.672,1:18.691,1:18.546,1:18.646,1:18.712,1:18.546,+0.026,+0.550
Mugello,17,Aida Haque,Icarus,1:18.805,1:18.758,1:18.813,1:18.752,1:18.905,1:18.752,+0.206,+0.756
Mugello,18,Clara Longo,Icarus,1:18.920,1:19.119,1:18.896,1:19.001,1:19.032,1:18.896,+0.144,+0.900
