Track,Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
Nurburgring GP,1,Franc Abel,Shell Motorsports,1:18.379,1:18.253,1:18.266,1:18.042,1:18.152,1:18.042,-,POLE
Nurburgring GP,2,Berend Boer,Shell Motorsports,1:18.281,1:18.412,1:18.241,1:18.150,1:18.223,1:18.150,+0.108,+0.108
Nurburgring GP,3,Jamar Henry,Trike Motorsports,1:18.220,1:18.350,1:18.457,1:18.158,1:18.541,1:18.158,+0.008,+0.116
Nurburgring GP,4,Mark Graham,Trike Motorsports,1:18.624,1:18.400,1:18.421,1:18.467,1:18.227,1:18.227,+0.069,+0.185
Nurburgring GP,5,Sydney Aspen,Villiuride Racing,1:18.480,1:18.638,1:18.494,1:18.360,1:18.256,1:18.256,+0.028,+0.214
Nurburgring GP,6,Monica Niculescu,Dacia Racing Team,1:18.479,1:18.327,1:18.455,1:18.405,1:18.451,1:18.327,+0.072,+0.285
Nurburgring GP,7,Eli Huertez,Pulang Kabayo Racing,1:18.449,1:18.461,1:18.483,1:18.381,1:18.363,1:18.363,+0.036,+0.321
Nurburgring GP,8,Ye Li,Racing Life,1:18.653,1:18.615,1:18.501,1:18.368,1:18.407,1:18.368,+0.005,+0.326
Nurburgring GP,9,Kanno Sora,LFL Engineering,1:18.460,1:18.375,1:18.546,1:18.521,1:18.554,1:18.375,+0.008,+0.334
Nurburgring GP,10,Liesje Roser,Dacia Racing Team,1:18.415,1:18.433,1:18.562,1:18.519,1:18.595,1:18.415,+0.039,+0.373
Nurburgring GP,11,Ananda Chohan,Mercedes AMG Motorsport,1:18.708,1:18.420,1:18.699,1:18.670,1:18.726,1:18.420,+0.005,+0.378
Nurburgring GP,12,Al Fabet,Villiuride Racing,1:18.425,1:18.669,1:18.577,1:18.547,1:18.553,1:18.425,+0.006,+0.384
Nurburgring GP,13,Damien Quibuyen,Mercedes AMG Motorsport,1:18.720,1:18.480,1:18.549,1:18.432,1:18.610,1:18.432,+0.007,+0.390
Nurburgring GP,14,Niamh Murphy,Racing Life,1:18.598,1:18.472,1:18.573,1:18.570,1:18.784,1:18.472,+0.040,+0.431
Nurburgring GP,15,Aleksa Kozlov,LFL Engineering,1:18.534,1:18.497,1:18.574,1:18.533,1:18.485,1:18.485,+0.013,+0.444
Nurburgring GP,16,Fidan Basak,Pulang Kabayo Racing,1:18.511,1:18.581,1:18.729,1:18.679,1:18.614,1:18.511,+0.026,+0.469
Nurburgring GP,17,Aida Haque,Icarus,1:18.822,1:18.966,1:18.897,1:18.779,1:18.830,1:18.779,+0.269,+0.738
Nurburgring GP,18,Clara Longo,Icarus,1:19.023,1:19.096,1:19.030,1:18.948,1:19.163,1:18.948,+0.169,+0.906
