Track,Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
Spa Francorchamps,1,7,Mark Graham,Trike Motorsports,Medium,1,5,1:48.519,0.000,0.000,Running
Spa Francorchamps,2,2,Franc Abel,Shell Motorsports,Soft,1,5,1:48.708,1.716,1.716,Running
Spa Francorchamps,3,6,Jamar Henry,Trike Motorsports,Medium,1,8,1:48.811,3.401,1.684,Running
Spa Francorchamps,4,15,Ye Li,Racing Life,Soft,1,5,1:49.394,8.756,5.355,Running
Spa Francorchamps,5,9,Al Fabet,Villiuride Racing,Hard,1,11,1:49.057,10.065,1.309,Running
Spa Francorchamps,6,13,Ananda Chohan,Mercedes AMG Motorsport,Medium,1,8,1:49.147,12.117,2.052,Running
Spa Francorchamps,7,12,Fidan Basak,Pulang Kabayo Racing,Hard,1,11,1:49.662,12.259,0.142,Running
Spa Francorchamps,8,10,Monica Niculescu,Dacia Racing Team,Medium,1,11,1:49.074,13.430,1.171,Running
Spa Francorchamps,9,3,Liesje Roser,Dacia Racing Team,Hard,1,12,1:49.359,15.143,1.713,Running
Spa Francorchamps,10,16,Niamh Murphy,Racing Life,Soft,1,7,1:49.561,19.024,3.881,Running
Spa Francorchamps,11,17,Aida Haque,Icarus,Soft,1,7,1:49.494,19.074,0.050,Running
Spa Francorchamps,12,18,Clara Longo,Icarus,Medium,1,4,1:49.652,26.764,7.690,Running
Spa Francorchamps,13,11,Aleksa Kozlov,LFL Engineering,Medium,2,4,1:49.616,39.041,12.277,Running
Spa Francorchamps,14,5,Kanno Sora,LFL Engineering,Hard,2,2,1:50.038,46.355,7.314,Running
Spa Francorchamps,15,14,Damien Quibuyen,Mercedes AMG Motorsport,Hard,1,1,1:49.845,,,Crashed on lap 37
Spa Francorchamps,16,4,Eli Huertez,Pulang Kabayo Racing,Medium,1,5,1:48.938,,,Mechanical failure on lap 33
Spa Francorchamps,17,8,Sydney Aspen,Villiuride Racing,Hard,0,4,1:50.259,,,Mechanical failure on lap 16
Spa Francorchamps,18,1,Berend Boer,Shell Motorsports,Soft,0,2,1:48.688,,,Mechanical failure on lap 11
