Lap,Event
1,Franc Abel sets the fastest lap: 1:50.861
1,Jamar Henry sets the fastest lap: 1:50.317
1,Damien Quibuyen sets the fastest lap: 1:49.651
1,Eli Huertez overtook Damien Quibuyen for P6
2,Liesje Roser sets the fastest lap: 1:48.936
2,Ye Li overtook Clara Longo for P15
2,Ananda Chohan overtook Kanno Sora for P11
2,Kanno Sora overtook Fidan Basak for P10
2,Fidan Basak overtook Al Fabet for P9
2,Al Fabet overtook Berend Boer for P8
2,Damien Quibuyen overtook Sydney Aspen for P4
2,Sydney Aspen overtook Mark Graham for P3
2,Jamar Henry overtook Franc Abel for P1
3,Aida Haque overtook Marek Madeira for P17
3,Marek Madeira overtook Ye Li for P16
3,Aleksa Kozlov overtook Niamh Murphy for P13
3,Niamh Murphy overtook Al Fabet for P12
3,Berend Boer overtook Kanno Sora for P10
3,Kanno Sora overtook Fidan Basak for P9
3,Jamar Henry overtook Liesje Roser for P4
3,Liesje Roser overtook Franc Abel for P3
3,Franc Abel overtook Sydney Aspen for P2
4,Niamh Murphy sets the fastest lap: 1:48.836
4,Clara Longo overtook Aida Haque for P15
4,Al Fabet overtook Kanno Sora for P13
4,Fidan Basak overtook Niamh Murphy for P8
4,Niamh Murphy overtook Eli Huertez for P7
4,Eli Huertez overtook Jamar Henry for P6
4,Damien Quibuyen overtook Sydney Aspen for P4
4,Mark Graham overtook Liesje Roser for P1
5,Damien Quibuyen overtook Jamar Henry for P7
5,Fidan Basak overtook Eli Huertez for P3
5,Eli Huertez overtook Mark Graham for P3
5,Mark Graham overtook Franc Abel for P1
6,Ye Li retired
6,Marek Madeira overtook Aida Haque for P15
6,Aleksa Kozlov overtook Al Fabet for P13
6,Ananda Chohan overtook Jamar Henry for P10
6,Jamar Henry overtook Niamh Murphy for P9
6,Sydney Aspen overtook Berend Boer for P7
6,Berend Boer overtook Liesje Roser for P6
6,Liesje Roser overtook Damien Quibuyen for P5
6,Eli Huertez overtook Franc Abel for P3
6,Mark Graham overtook Fidan Basak for P1
7,Liesje Roser overtook Jamar Henry for P7
7,Jamar Henry overtook Berend Boer for P6
8,Ananda Chohan overtook Niamh Murphy for P10
8,Jamar Henry overtook Sydney Aspen for P8
8,Sydney Aspen overtook Berend Boer for P7
8,Berend Boer overtook Liesje Roser for P6
9,Aleksa Kozlov overtook Al Fabet for P13
9,Kanno Sora overtook Jamar Henry for P11
9,Jamar Henry overtook Berend Boer for P10
9,Mark Graham overtook Fidan Basak for P4
9,Damien Quibuyen overtook Eli Huertez for P2
9,Eli Huertez overtook Franc Abel for P1
10,Jamar Henry overtook Berend Boer for P7
10,Liesje Roser overtook Fidan Basak for P5
10,Fidan Basak overtook Damien Quibuyen for P4
11,Aleksa Kozlov pits: Medium -> Hard
11,Ananda Chohan overtook Liesje Roser for P7
12,Niamh Murphy overtook Liesje Roser for P10
12,Mark Graham overtook Jamar Henry for P3
13,Kanno Sora overtook Fidan Basak for P10
13,Sydney Aspen overtook Liesje Roser for P8
13,Liesje Roser overtook Damien Quibuyen for P7
13,Mark Graham overtook Ananda Chohan for P3
14,Niamh Murphy overtook Fidan Basak for P10
15,Liesje Roser pits: Soft -> Hard
15,Damien Quibuyen pits: Soft -> Medium
15,Kanno Sora overtook Fidan Basak for P9
15,Niamh Murphy overtook Sydney Aspen for P5
15,Sydney Aspen overtook Mark Graham for P4
15,Mark Graham overtook Ananda Chohan for P3
16,Eli Huertez pits: Soft -> Medium
16,Kanno Sora overtook Berend Boer for P7
16,Ananda Chohan overtook Niamh Murphy for P3
17,Franc Abel pits: Soft -> Medium
17,Clara Longo overtook Eli Huertez for P13
17,Marek Madeira overtook Al Fabet for P9
17,Sydney Aspen overtook Kanno Sora for P3
18,Sydney Aspen overtook Niamh Murphy for P2
19,Kanno Sora overtook Niamh Murphy for P3
20,Niamh Murphy pits: Soft -> Soft
20,Ananda Chohan pits: Soft -> Hard
20,Liesje Roser overtook Clara Longo for P13
20,Jamar Henry overtook Berend Boer for P4
21,Aleksa Kozlov overtook Ananda Chohan for P16
21,Liesje Roser overtook Damien Quibuyen for P13
21,Eli Huertez overtook Franc Abel for P10
21,Jamar Henry overtook Berend Boer for P4
21,Berend Boer overtook Kanno Sora for P3
22,Ananda Chohan overtook Aleksa Kozlov for P16
22,Eli Huertez overtook Aida Haque for P9
23,Fidan Basak pits: Medium -> Hard
23,Al Fabet pits: Medium -> Medium
23,Aleksa Kozlov overtook Clara Longo for P14
23,Franc Abel overtook Aida Haque for P8
23,Kanno Sora overtook Berend Boer for P4
24,Sydney Aspen pits: Medium -> Hard
24,Mark Graham pits: Medium -> Hard
24,Jamar Henry pits: Medium -> Hard
24,Kanno Sora pits: Medium -> Hard
24,Jamar Henry overtook Sydney Aspen for P8
24,Sydney Aspen overtook Mark Graham for P7
25,Berend Boer pits: Medium -> Hard
25,Aida Haque pits: Medium -> Hard
25,Aleksa Kozlov overtook Clara Longo for P13
25,Kanno Sora overtook Liesje Roser for P9
25,Liesje Roser overtook Berend Boer for P8
25,Berend Boer overtook Jamar Henry for P7
25,Jamar Henry overtook Mark Graham for P6
26,Clara Longo overtook Ananda Chohan for P14
26,Sydney Aspen overtook Berend Boer for P7
26,Berend Boer overtook Mark Graham for P6
26,Eli Huertez overtook Franc Abel for P2
27,Marek Madeira pits: Medium -> Hard
27,Ananda Chohan overtook Aleksa Kozlov for P13
27,Damien Quibuyen overtook Liesje Roser for P9
27,Jamar Henry overtook Berend Boer for P4
28,Kanno Sora overtook Damien Quibuyen for P8
28,Jamar Henry overtook Berend Boer for P4
29,Mark Graham retired
29,Clara Longo overtook Al Fabet for P13
29,Damien Quibuyen overtook Sydney Aspen for P7
30,Clara Longo overtook Al Fabet for P13
30,Liesje Roser overtook Fidan Basak for P9
30,Sydney Aspen overtook Kanno Sora for P7
30,Kanno Sora overtook Damien Quibuyen for P6
32,Fidan Basak retired
32,Marek Madeira retired
32,Aleksa Kozlov overtook Liesje Roser for P9
32,Damien Quibuyen overtook Berend Boer for P5
32,Berend Boer overtook Jamar Henry for P4
33,Sydney Aspen overtook Damien Quibuyen for P6
33,Damien Quibuyen overtook Jamar Henry for P5
33,Jamar Henry overtook Berend Boer for P4
34,Clara Longo pits: Hard -> Medium
35,Sydney Aspen overtook Jamar Henry for P6
35,Berend Boer overtook Damien Quibuyen for P4
35,Niamh Murphy overtook Eli Huertez for P1
36,Aleksa Kozlov pits: Hard -> Hard
