Lap,Event
1,Franc Abel sets the fastest lap: 1:50.674
1,Berend Boer sets the fastest lap: 1:50.030
1,Mark Graham sets the fastest lap: 1:49.973
1,Ananda Chohan sets the fastest lap: 1:49.538
1,Aleksa Kozlov overtook Monica Niculescu for P12
1,Liesje Roser overtook Ananda Chohan for P10
1,Eli Huertez overtook Mark Graham for P3
1,Mark Graham overtook Franc Abel for P2
2,Mark Graham sets the fastest lap: 1:49.468
2,Liesje Roser sets the fastest lap: 1:49.068
2,Aida Haque overtook Clara Longo for P17
2,Fidan Basak overtook Berend Boer for P3
3,Mark Graham retired
3,Monica Niculescu sets the fastest lap: 1:48.894
3,Clara Longo overtook Ye Li for P12
3,Ye Li overtook Ananda Chohan for P11
3,Ananda Chohan overtook Sydney Aspen for P10
3,Eli Huertez overtook Monica Niculescu for P7
4,Ananda Chohan overtook Ye Li for P10
4,Monica Niculescu overtook Fidan Basak for P7
4,Jamar Henry overtook Liesje Roser for P5
5,Ye Li overtook Ananda Chohan for P11
5,Fidan Basak overtook Monica Niculescu for P7
5,Kanno Sora overtook Jamar Henry for P4
5,Jamar Henry overtook Liesje Roser for P3
6,Sydney Aspen overtook Aleksa Kozlov for P14
6,Niamh Murphy overtook Ye Li for P12
6,Damien Quibuyen overtook Fidan Basak for P8
6,Eli Huertez overtook Monica Niculescu for P6
6,Kanno Sora overtook Jamar Henry for P2
7,Niamh Murphy overtook Ananda Chohan for P12
8,Franc Abel sets the fastest lap: 1:48.519
8,Ananda Chohan overtook Sydney Aspen for P13
8,Sydney Aspen overtook Niamh Murphy for P12
8,Niamh Murphy overtook Ye Li for P11
8,Monica Niculescu overtook Berend Boer for P5
9,Ananda Chohan overtook Al Fabet for P13
9,Ye Li overtook Niamh Murphy for P10
9,Niamh Murphy overtook Damien Quibuyen for P9
9,Berend Boer overtook Liesje Roser for P6
9,Eli Huertez overtook Monica Niculescu for P4
9,Franc Abel overtook Jamar Henry for P2
10,Kanno Sora pits: Soft -> Hard
10,Ananda Chohan overtook Sydney Aspen for P11
10,Niamh Murphy overtook Ye Li for P8
10,Ye Li overtook Fidan Basak for P7
11,Ananda Chohan overtook Al Fabet for P12
12,Clara Longo overtook Aida Haque for P15
13,Aleksa Kozlov pits: Medium -> Hard
14,Damien Quibuyen pits: Soft -> Hard
14,Ananda Chohan overtook Fidan Basak for P9
14,Monica Niculescu overtook Berend Boer for P4
15,Jamar Henry overtook Eli Huertez for P2
15,Eli Huertez overtook Franc Abel for P1
16,Eli Huertez pits: Soft -> Medium
16,Monica Niculescu pits: Soft -> Medium
16,Ananda Chohan pits: Soft -> Medium
16,Clara Longo overtook Eli Huertez for P11
16,Eli Huertez overtook Aida Haque for P10
17,Jamar Henry pits: Soft -> Medium
17,Liesje Roser pits: Soft -> Medium
17,Kanno Sora overtook Aida Haque for P10
17,Eli Huertez overtook Clara Longo for P8
18,Franc Abel pits: Soft -> Medium
18,Monica Niculescu overtook Liesje Roser for P13
18,Jamar Henry overtook Kanno Sora for P11
18,Kanno Sora overtook Clara Longo for P10
18,Franc Abel overtook Eli Huertez for P7
18,Sydney Aspen overtook Al Fabet for P5
19,Franc Abel overtook Kanno Sora for P9
19,Kanno Sora overtook Clara Longo for P8
20,Franc Abel overtook Kanno Sora for P9
20,Eli Huertez overtook Clara Longo for P7
21,Kanno Sora overtook Clara Longo for P8
21,Clara Longo overtook Eli Huertez for P7
22,Ye Li pits: Soft -> Hard
22,Niamh Murphy pits: Soft -> Soft
22,Aleksa Kozlov overtook Niamh Murphy for P16
22,Ye Li overtook Damien Quibuyen for P14
22,Aida Haque overtook Liesje Roser for P10
22,Franc Abel overtook Clara Longo for P7
22,Fidan Basak overtook Al Fabet for P2
23,Fidan Basak pits: Medium -> Hard
23,Sydney Aspen pits: Medium -> Hard
23,Niamh Murphy overtook Sydney Aspen for P15
23,Ye Li overtook Fidan Basak for P13
23,Clara Longo overtook Jamar Henry for P6
23,Eli Huertez overtook Kanno Sora for P3
24,Al Fabet pits: Medium -> Hard
24,Kanno Sora retired
