Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
1,2,Mark Graham,Trike Motorsports,Hard,1,11,1:23.125,0.000,0.000,Running
2,4,Al Fabet,Villiuride Racing,Soft,1,13,1:23.050,5.892,5.892,Running
3,1,Jamar Henry,Trike Motorsports,Soft,2,13,1:22.490,5.942,0.050,Running
4,3,Sydney Aspen,Villiuride Racing,Soft,2,9,1:22.184,6.759,0.817,Running
5,10,Kanno Sora,LFL Engineering,Soft,1,7,1:22.526,10.357,3.598,Running
6,8,Franc Abel,Orange Wheel Racing,Hard,1,11,1:23.370,10.923,0.566,Running
7,7,Ye Li,Racing Life,Soft,2,12,1:22.961,10.973,0.050,Running
8,12,Aleksa Kozlov,LFL Engineering,Soft,2,8,1:22.674,12.608,1.635,Running
9,6,Damien Quibuyen,Mercedes AMG Motorsport,Soft,2,10,1:23.243,14.341,1.733,Running
10,14,Eli Huertez,Pulang Kabayo Racing,Soft,1,8,1:23.023,14.453,0.112,Running
11,11,Monica Niculescu,Dacia Racing Team,Soft,2,9,1:23.426,16.255,1.802,Running
12,13,Ananda Chohan,Mercedes AMG Motorsport,Hard,1,11,1:23.041,16.795,0.540,Running
13,18,Liesje Roser,Dacia Racing Team,Hard,1,9,1:23.395,16.845,0.050,Running
14,5,Berend Boer,Orange Wheel Racing,Soft,2,6,1:22.442,18.072,1.227,Running
15,15,Niamh Murphy,Racing Life,Hard,1,12,1:23.747,22.727,4.656,Running
16,9,Aida Haque,Scuderia Ivanov Racing,Soft,2,12,1:23.158,23.192,0.465,Running
17,20,Erwin Kramer,OHSN Racing,Soft,1,2,1:23.589,26.365,3.173,Running
18,17,Fidan Basak,Pulang Kabayo Racing,Soft,2,7,1:23.181,30.458,4.093,Running
19,19,Thorleif Valtyrsdotter,OHSN Racing,Hard,1,7,1:24.038,42.471,12.013,Running
20,16,Nelson Ramsey,Scuderia Ivanov Racing,Hard,0,1,1:25.304,,,Mechanical failure on lap 5
