Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
1,4,Al Fabet,Villiuride Racing,Soft,1,7,1:22.424,0.000,0.000,Running
2,2,Mark Graham,Trike Motorsports,Hard,1,9,1:23.394,3.358,3.358,Running
3,8,Franc Abel,Orange Wheel Racing,Hard,1,6,1:23.349,4.204,0.847,Running
4,1,Jamar Henry,Trike Motorsports,Soft,2,11,1:22.644,7.513,3.308,Running
5,3,Sydney Aspen,Villiuride Racing,Soft,2,10,1:22.333,7.563,0.050,Running
6,5,Berend Boer,Orange Wheel Racing,Soft,2,13,1:22.663,10.626,3.063,Running
7,6,Damien Quibuyen,Mercedes AMG Motorsport,Soft,2,16,1:22.929,10.753,0.127,Running
8,9,Aida Haque,Scuderia Ivanov Racing,Soft,2,7,1:22.910,10.822,0.069,Running
9,12,Aleksa Kozlov,LFL Engineering,Soft,2,14,1:22.758,11.290,0.468,Running
10,13,Ananda Chohan,Mercedes AMG Motorsport,Hard,1,13,1:23.075,12.920,1.630,Running
11,10,Kanno Sora,LFL Engineering,Soft,1,9,1:22.788,12.970,0.050,Running
12,7,Ye Li,Racing Life,Soft,2,10,1:22.510,13.679,0.709,Running
13,14,Eli Huertez,Pulang Kabayo Racing,Soft,1,12,1:23.312,17.028,3.349,Running
14,11,Monica Niculescu,Dacia Racing Team,Soft,2,6,1:23.162,18.658,1.630,Running
15,17,Fidan Basak,Pulang Kabayo Racing,Soft,2,11,1:23.206,19.618,0.960,Running
16,15,Niamh Murphy,Racing Life,Hard,1,8,1:23.833,24.993,5.375,Running
17,20,Erwin Kramer,OHSN Racing,Soft,1,8,1:23.832,32.529,7.535,Running
18,18,Liesje Roser,Dacia Racing Team,Hard,1,8,1:23.480,35.710,3.181,Running
19,19,Thorleif Valtyrsdotter,OHSN Racing,Hard,1,10,1:23.896,36.823,1.113,Running
20,16,Nelson Ramsey,Scuderia Ivanov Racing,Hard,0,4,1:23.944,,,Mechanical failure on lap 20
