Lap,Event
1,Franc Abel sets the fastest lap: 1:49.710
1,Mark Graham sets the fastest lap: 1:49.345
1,Clara Longo overtook Aleksa Kozlov for P17
1,Aleksa Kozlov overtook Aida Haque for P16
1,Niamh Murphy overtook Liesje Roser for P12
2,Franc Abel sets the fastest lap: 1:49.316
2,Berend Boer retired
2,Sydney Aspen overtook Eli Huertez for P12
3,Mark Graham sets the fastest lap: 1:48.684
3,Eli Huertez overtook Marek Madeira for P13
3,Kanno Sora overtook Sydney Aspen for P11
3,Niamh Murphy overtook Damien Quibuyen for P8
3,Al Fabet overtook Jamar Henry for P5
3,Franc Abel overtook Mark Graham for P1
4,Aida Haque overtook Aleksa Kozlov for P15
4,Kanno Sora overtook Fidan Basak for P11
4,Al Fabet overtook Damien Quibuyen for P7
4,Damien Quibuyen overtook Liesje Roser for P6
5,Fidan Basak overtook Eli Huertez for P11
5,Eli Huertez overtook Sydney Aspen for P11
5,Sydney Aspen overtook Kanno Sora for P10
6,Sydney Aspen overtook Kanno Sora for P9
6,Kanno Sora overtook Jamar Henry for P8
6,Al Fabet overtook Ye Li for P6
6,Damien Quibuyen overtook Ananda Chohan for P3
7,Jamar Henry overtook Eli Huertez for P9
7,Kanno Sora overtook Ye Li for P7
7,Ye Li overtook Al Fabet for P6
7,Al Fabet overtook Liesje Roser for P5
8,Sydney Aspen overtook Eli Huertez for P11
8,Fidan Basak overtook Kanno Sora for P9
8,Damien Quibuyen overtook Ananda Chohan for P3
9,Sydney Aspen overtook Eli Huertez for P11
9,Ye Li overtook Kanno Sora for P6
9,Damien Quibuyen overtook Ananda Chohan for P3
10,Aleksa Kozlov overtook Clara Longo for P16
10,Aida Haque overtook Niamh Murphy for P14
10,Kanno Sora overtook Ye Li for P6
10,Franc Abel overtook Mark Graham for P1
11,Aleksa Kozlov pits: Medium -> Hard
11,Marek Madeira overtook Jamar Henry for P12
12,Sydney Aspen overtook Eli Huertez for P10
12,Mark Graham overtook Franc Abel for P1
13,Liesje Roser overtook Sydney Aspen for P9
13,Mark Graham overtook Franc Abel for P1
14,Liesje Roser pits: Soft -> Hard
14,Sydney Aspen overtook Eli Huertez for P9
14,Al Fabet overtook Ananda Chohan for P5
14,Ananda Chohan overtook Damien Quibuyen for P4
15,Mark Graham pits: Soft -> Soft
15,Al Fabet pits: Soft -> Medium
15,Jamar Henry retired
15,Marek Madeira pits: Soft -> Hard
15,Ananda Chohan overtook Ye Li for P3
15,Ye Li overtook Damien Quibuyen for P2
16,Eli Huertez pits: Soft -> Medium
16,Eli Huertez overtook Liesje Roser for P13
17,Franc Abel pits: Soft -> Hard
17,Mark Graham overtook Aida Haque for P8
17,Damien Quibuyen overtook Ananda Chohan for P1
18,Kanno Sora overtook Fidan Basak for P4
19,Al Fabet overtook Liesje Roser for P12
19,Mark Graham overtook Sydney Aspen for P6
19,Ananda Chohan overtook Fidan Basak for P4
19,Fidan Basak overtook Ye Li for P3
20,Ananda Chohan pits: Soft -> Medium
20,Ananda Chohan overtook Al Fabet for P11
21,Al Fabet overtook Ananda Chohan for P11
21,Sydney Aspen overtook Niamh Murphy for P6
21,Ye Li overtook Fidan Basak for P3
22,Ye Li pits: Soft -> Soft
22,Aida Haque pits: Medium -> Hard
22,Al Fabet overtook Clara Longo for P9
22,Clara Longo overtook Ananda Chohan for P8
22,Niamh Murphy overtook Sydney Aspen for P5
23,Fidan Basak pits: Medium -> Hard
23,Sydney Aspen pits: Medium -> Hard
23,Liesje Roser overtook Ye Li for P11
24,Kanno Sora pits: Medium -> Hard
24,Kanno Sora overtook Ye Li for P9
24,Ye Li overtook Fidan Basak for P8
24,Al Fabet overtook Ananda Chohan for P5
25,Fidan Basak overtook Clara Longo for P7
25,Clara Longo overtook Ananda Chohan for P6
27,Niamh Murphy overtook Franc Abel for P3
28,Sydney Aspen overtook Liesje Roser for P12
28,Kanno Sora overtook Eli Huertez for P10
28,Clara Longo overtook Ye Li for P8
28,Ananda Chohan overtook Fidan Basak for P6
28,Franc Abel overtook Niamh Murphy for P3
29,Niamh Murphy overtook Franc Abel for P3
29,Mark Graham overtook Damien Quibuyen for P1
30,Mark Graham pits: Soft -> Hard
30,Damien Quibuyen pits: Medium -> Hard
31,Kanno Sora overtook Clara Longo for P9
31,Ye Li overtook Fidan Basak for P6
31,Fidan Basak overtook Al Fabet for P5
31,Al Fabet overtook Ananda Chohan for P4
32,Niamh Murphy pits: Medium -> Hard
32,Clara Longo pits: Hard -> Medium
32,Aida Haque overtook Niamh Murphy for P13
32,Sydney Aspen overtook Liesje Roser for P10
32,Damien Quibuyen overtook Kanno Sora for P7
32,Fidan Basak overtook Ananda Chohan for P4
33,Niamh Murphy overtook Aida Haque for P13
33,Sydney Aspen overtook Liesje Roser for P10
33,Fidan Basak overtook Ye Li for P3
34,Damien Quibuyen overtook Ananda Chohan for P5
35,Aida Haque overtook Niamh Murphy for P13
35,Niamh Murphy overtook Marek Madeira for P12
35,Damien Quibuyen overtook Ananda Chohan for P5
36,Aleksa Kozlov pits: Hard -> Hard
