Lap,Event
1,Jamar Henry sets the fastest lap: 1:24.497
1,Sydney Aspen sets the fastest lap: 1:23.769
1,Al Fabet sets the fastest lap: 1:23.450
1,Ye Li sets the fastest lap: 1:23.180
1,Nelson Ramsey overtook Thorleif Valtyrsdotter for P19
1,Niamh Murphy overtook Monica Niculescu for P12
2,Ye Li sets the fastest lap: 1:23.103
2,Berend Boer sets the fastest lap: 1:22.442
2,Thorleif Valtyrsdotter overtook Liesje Roser for P18
2,Kanno Sora overtook Erwin Kramer for P16
2,Eli Huertez overtook Niamh Murphy for P14
2,Fidan Basak overtook Franc Abel for P12
2,Aleksa Kozlov overtook Mark Graham for P7
2,Mark Graham overtook Damien Quibuyen for P6
2,Ye Li overtook Sydney Aspen for P2
3,Ananda Chohan overtook Monica Niculescu for P11
3,Aida Haque overtook Mark Graham for P7
3,Jamar Henry overtook Sydney Aspen for P3
4,Mark Graham overtook Ananda Chohan for P9
4,Aida Haque overtook Aleksa Kozlov for P6
4,Damien Quibuyen overtook Sydney Aspen for P4
5,Nelson Ramsey retired
5,Kanno Sora overtook Thorleif Valtyrsdotter for P17
5,Niamh Murphy overtook Al Fabet for P13
5,Al Fabet overtook Franc Abel for P12
5,Fidan Basak overtook Ananda Chohan for P10
5,Ananda Chohan overtook Monica Niculescu for P10
5,Mark Graham overtook Aida Haque for P7
5,Ye Li overtook Sydney Aspen for P3
5,Sydney Aspen overtook Jamar Henry for P2
6,Thorleif Valtyrsdotter overtook Kanno Sora for P17
6,Niamh Murphy overtook Liesje Roser for P14
6,Liesje Roser overtook Al Fabet for P13
6,Al Fabet overtook Franc Abel for P12
6,Franc Abel overtook Ananda Chohan for P11
6,Ananda Chohan overtook Monica Niculescu for P10
6,Monica Niculescu overtook Fidan Basak for P9
6,Mark Graham overtook Aida Haque for P7
6,Damien Quibuyen overtook Aleksa Kozlov for P5
7,Monica Niculescu overtook Aida Haque for P10
7,Aleksa Kozlov overtook Mark Graham for P6
7,Ye Li overtook Sydney Aspen for P3
7,Sydney Aspen overtook Berend Boer for P2
8,Thorleif Valtyrsdotter overtook Kanno Sora for P17
8,Kanno Sora overtook Eli Huertez for P16
8,Niamh Murphy overtook Liesje Roser for P14
8,Aida Haque overtook Monica Niculescu for P9
8,Aleksa Kozlov overtook Ananda Chohan for P7
8,Ananda Chohan overtook Mark Graham for P6
9,Thorleif Valtyrsdotter overtook Eli Huertez for P17
9,Eli Huertez overtook Kanno Sora for P16
9,Al Fabet overtook Fidan Basak for P12
9,Fidan Basak overtook Liesje Roser for P12
9,Monica Niculescu overtook Aida Haque for P9
9,Aida Haque overtook Ananda Chohan for P8
9,Damien Quibuyen overtook Ye Li for P4
9,Berend Boer overtook Sydney Aspen for P2
10,Ananda Chohan overtook Aida Haque for P9
10,Aleksa Kozlov overtook Damien Quibuyen for P5
10,Jamar Henry overtook Berend Boer for P1
11,Franc Abel overtook Niamh Murphy for P12
11,Mark Graham overtook Aida Haque for P8
11,Sydney Aspen overtook Jamar Henry for P3
11,Jamar Henry overtook Berend Boer for P2
12,Liesje Roser overtook Al Fabet for P14
12,Al Fabet overtook Niamh Murphy for P13
12,Aida Haque overtook Mark Graham for P8
12,Mark Graham overtook Monica Niculescu for P7
12,Jamar Henry overtook Berend Boer for P3
13,Fidan Basak overtook Franc Abel for P11
13,Ananda Chohan overtook Aida Haque for P8
13,Aida Haque overtook Mark Graham for P7
14,Monica Niculescu overtook Ananda Chohan for P9
14,Aida Haque overtook Aleksa Kozlov for P6
14,Ye Li overtook Berend Boer for P1
15,Franc Abel overtook Niamh Murphy for P12
15,Berend Boer overtook Ye Li for P2
15,Ye Li overtook Sydney Aspen for P1
16,Mark Graham overtook Aida Haque for P8
16,Sydney Aspen overtook Ye Li for P1
17,Jamar Henry pits: Soft -> Medium
17,Monica Niculescu pits: Soft -> Medium
17,Fidan Basak pits: Soft -> Medium
17,Al Fabet overtook Liesje Roser for P11
17,Berend Boer overtook Ye Li for P2
