Track,Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
Hungaroring,1,1,Franc Abel,Shell Motorsports,Soft,2,5,1:49.230,0.000,0.000,Running
Hungaroring,2,3,Mark Graham,Trike Motorsports,Hard,2,6,1:48.684,4.383,4.383,Running
Hungaroring,3,6,Damien Quibuyen,Mercedes AMG Motorsport,Hard,1,10,1:48.758,5.690,1.307,Running
Hungaroring,4,12,Niamh Murphy,Racing Life,Hard,1,13,1:49.458,13.986,8.296,Running
Hungaroring,5,4,Ananda Chohan,Mercedes AMG Motorsport,Soft,2,9,1:49.375,17.439,3.453,Running
Hungaroring,6,5,Fidan Basak,Pulang Kabayo Racing,Hard,1,12,1:49.752,17.489,0.050,Running
Hungaroring,7,9,Kanno Sora,LFL Engineering,Hard,1,13,1:49.381,17.775,0.287,Running
Hungaroring,8,8,Al Fabet,Villiuride Racing,Hard,2,15,1:49.116,19.878,2.103,Running
Hungaroring,9,15,Liesje Roser,Dacia Racing Team,Medium,2,5,1:49.406,26.074,6.196,Running
Hungaroring,10,18,Clara Longo,Icarus,Soft,2,9,1:49.772,36.874,10.800,Running
Hungaroring,11,17,Aida Haque,Icarus,Soft,2,9,1:49.164,39.425,2.551,Running
Hungaroring,12,16,Marek Madeira,Dacia Racing Team,Medium,2,2,1:49.383,41.289,1.864,Running
Hungaroring,13,13,Aleksa Kozlov,LFL Engineering,Hard,2,3,1:49.807,60.992,19.704,Running
Hungaroring,14,10,Eli Huertez,Pulang Kabayo Racing,Soft,2,5,1:49.319,76.198,15.206,Running
Hungaroring,15,14,Sydney Aspen,Villiuride Racing,Soft,2,11,1:49.310,,,Mechanical failure on lap 62
Hungaroring,16,7,Ye Li,Racing Life,Medium,2,7,1:49.120,,,Crashed on lap 55
Hungaroring,17,11,Jamar Henry,Trike Motorsports,Medium,0,1,1:49.636,,,Mechanical failure on lap 15
Hungaroring,18,2,Berend Boer,Shell Motorsports,Medium,0,0,1:51.776,,,Mechanical failure on lap 2
