Track,Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
Silverstone,1,2,Berend Boer,Shell Motorsports,Soft,2,13,1:23.239,0.000,0.000,Running
Silverstone,2,1,Franc Abel,Shell Motorsports,Soft,2,1,1:22.947,0.009,0.009,Running
Silverstone,3,5,Jamar Henry,Trike Motorsports,Soft,2,15,1:23.154,1.501,1.492,Running
Silverstone,4,7,Eli Huertez,Pulang Kabayo Racing,Soft,2,11,1:22.549,1.551,0.050,Running
Silverstone,5,8,Mark Graham,Trike Motorsports,Soft,2,11,1:22.931,2.966,1.415,Running
Silverstone,6,12,Fidan Basak,Pulang Kabayo Racing,Soft,2,17,1:23.041,6.540,3.573,Running
Silverstone,7,4,Aleksa Kozlov,LFL Engineering,Soft,2,19,1:23.134,6.846,0.306,Running
Silverstone,8,10,Al Fabet,Villiuride Racing,Soft,2,15,1:23.101,7.399,0.553,Running
Silverstone,9,3,Kanno Sora,LFL Engineering,Soft,2,13,1:23.065,8.665,1.266,Running
Silverstone,10,9,Sydney Aspen,Villiuride Racing,Soft,2,17,1:23.247,9.587,0.921,Running
Silverstone,11,17,Ananda Chohan,Mercedes AMG Motorsport,Soft,2,16,1:23.362,12.418,2.832,Running
Silverstone,12,6,Monica Niculescu,Dacia Racing Team,Soft,2,13,1:23.273,12.468,0.050,Running
Silverstone,13,13,Ye Li,Racing Life,Soft,2,16,1:22.806,14.198,1.729,Running
Silverstone,14,11,Liesje Roser,Dacia Racing Team,Soft,2,11,1:22.802,16.703,2.505,Running
Silverstone,15,15,Damien Quibuyen,Mercedes AMG Motorsport,Soft,2,7,1:22.915,21.097,4.394,Running
Silverstone,16,14,Aida Haque,Icarus,Soft,2,2,1:22.797,22.708,1.612,Running
Silverstone,17,16,Niamh Murphy,Racing Life,Soft,2,1,1:23.493,27.487,4.778,Running
Silverstone,18,18,Clara Longo,Icarus,Soft,0,3,1:23.072,,,Mechanical failure on lap 14
