Lap,Event
1,Jamar Henry sets the fastest lap: 1:24.231
1,Mark Graham sets the fastest lap: 1:23.778
1,Damien Quibuyen sets the fastest lap: 1:23.614
1,Ye Li sets the fastest lap: 1:22.161
1,Eli Huertez overtook Liesje Roser for P16
1,Aleksa Kozlov overtook Niamh Murphy for P12
1,Kanno Sora overtook Aida Haque for P9
1,Aida Haque overtook Al Fabet for P8
1,Al Fabet overtook Franc Abel for P7
2,Berend Boer overtook Franc Abel for P7
2,Mark Graham overtook Sydney Aspen for P3
3,Erwin Kramer overtook Thorleif Valtyrsdotter for P19
3,Thorleif Valtyrsdotter overtook Eli Huertez for P18
3,Eli Huertez overtook Nelson Ramsey for P17
3,Fidan Basak overtook Kanno Sora for P13
3,Ananda Chohan overtook Niamh Murphy for P10
3,Niamh Murphy overtook Aleksa Kozlov for P9
3,Mark Graham overtook Franc Abel for P7
3,Franc Abel overtook Berend Boer for P6
4,Al Fabet overtook Ananda Chohan for P14
4,Monica Niculescu overtook Niamh Murphy for P10
4,Franc Abel overtook Aleksa Kozlov for P8
4,Aida Haque overtook Damien Quibuyen for P3
4,Damien Quibuyen overtook Sydney Aspen for P2
5,Thorleif Valtyrsdotter overtook Liesje Roser for P16
5,Monica Niculescu overtook Fidan Basak for P11
5,Ye Li overtook Berend Boer for P5
5,Jamar Henry overtook Sydney Aspen for P1
6,Eli Huertez overtook Nelson Ramsey for P18
6,Ananda Chohan overtook Al Fabet for P14
6,Al Fabet overtook Kanno Sora for P13
6,Niamh Murphy overtook Mark Graham for P10
6,Jamar Henry overtook Damien Quibuyen for P2
7,Nelson Ramsey overtook Liesje Roser for P18
7,Kanno Sora overtook Thorleif Valtyrsdotter for P14
7,Aleksa Kozlov overtook Ye Li for P5
7,Berend Boer overtook Damien Quibuyen for P3
7,Damien Quibuyen overtook Jamar Henry for P2
8,Thorleif Valtyrsdotter overtook Niamh Murphy for P13
8,Mark Graham overtook Monica Niculescu for P11
8,Monica Niculescu overtook Al Fabet for P10
8,Al Fabet overtook Fidan Basak for P9
8,Franc Abel overtook Aida Haque for P7
8,Sydney Aspen overtook Damien Quibuyen for P1
9,Thorleif Valtyrsdotter overtook Niamh Murphy for P13
9,Mark Graham overtook Fidan Basak for P11
9,Jamar Henry overtook Damien Quibuyen for P2
