Track,Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
Albert Park,1,1,Franc Abel,Shell Motorsports,Soft,2,6,1:48.519,0.000,0.000,Running
Albert Park,2,4,Eli Huertez,Pulang Kabayo Racing,Soft,2,11,1:49.284,5.034,5.034,Running
Albert Park,3,6,Jamar Henry,Trike Motorsports,Soft,2,10,1:49.353,9.829,4.795,Running
Albert Park,4,7,Al Fabet,Villiuride Racing,Hard,1,5,1:49.367,13.372,3.542,Running
Albert Park,5,11,Liesje Roser,Dacia Racing Team,Soft,2,2,1:49.068,13.422,0.050,Running
Albert Park,6,9,Sydney Aspen,Villiuride Racing,Hard,1,16,1:49.369,13.961,0.539,Running
Albert Park,7,8,Fidan Basak,Pulang Kabayo Racing,Hard,1,8,1:49.505,18.949,4.988,Running
Albert Park,8,15,Ye Li,Racing Life,Hard,1,8,1:49.377,21.983,3.034,Running
Albert Park,9,16,Niamh Murphy,Racing Life,Medium,2,10,1:49.696,23.534,1.551,Running
Albert Park,10,13,Damien Quibuyen,Mercedes AMG Motorsport,Soft,2,12,1:49.231,23.584,0.050,Running
Albert Park,11,14,Ananda Chohan,Mercedes AMG Motorsport,Soft,2,13,1:49.231,27.233,3.649,Running
Albert Park,12,12,Aleksa Kozlov,LFL Engineering,Medium,2,5,1:49.328,33.464,6.231,Running
Albert Park,13,17,Aida Haque,Icarus,Medium,1,3,1:49.897,37.870,4.406,Running
Albert Park,14,18,Clara Longo,Icarus,Hard,1,5,1:49.690,,,Mechanical failure on lap 56
Albert Park,15,2,Berend Boer,Shell Motorsports,Hard,1,2,1:49.468,,,Mechanical failure on lap 44
Albert Park,16,10,Monica Niculescu,Dacia Racing Team,Medium,2,5,1:48.894,,,Mechanical failure on lap 43
Albert Park,17,3,Kanno Sora,LFL Engineering,Hard,1,6,1:49.289,,,Mechanical failure on lap 24
Albert Park,18,5,Mark Graham,Trike Motorsports,Soft,0,1,1:49.468,,,Mechanical failure on lap 3
