Lap,Event
1,Jamar Henry sets the fastest lap: 1:23.911
1,Sydney Aspen sets the fastest lap: 1:22.333
1,Thorleif Valtyrsdotter overtook Eli Huertez for P17
1,Ananda Chohan overtook Kanno Sora for P13
2,Ananda Chohan overtook Monica Niculescu for P12
2,Berend Boer overtook Jamar Henry for P5
2,Aida Haque overtook Sydney Aspen for P1
3,Eli Huertez overtook Liesje Roser for P17
3,Liesje Roser overtook Niamh Murphy for P17
3,Niamh Murphy overtook Thorleif Valtyrsdotter for P15
3,Fidan Basak overtook Monica Niculescu for P11
3,Mark Graham overtook Berend Boer for P3
4,Niamh Murphy overtook Eli Huertez for P17
4,Liesje Roser overtook Monica Niculescu for P13
4,Fidan Basak overtook Aleksa Kozlov for P8
4,Damien Quibuyen overtook Ye Li for P6
4,Sydney Aspen overtook Jamar Henry for P3
5,Thorleif Valtyrsdotter overtook Eli Huertez for P15
5,Franc Abel overtook Monica Niculescu for P11
5,Monica Niculescu overtook Ananda Chohan for P10
5,Ananda Chohan overtook Mark Graham for P9
5,Fidan Basak overtook Ye Li for P5
5,Ye Li overtook Jamar Henry for P4
5,Jamar Henry overtook Berend Boer for P3
6,Nelson Ramsey overtook Erwin Kramer for P19
6,Thorleif Valtyrsdotter overtook Liesje Roser for P16
6,Al Fabet overtook Franc Abel for P12
6,Ananda Chohan overtook Aleksa Kozlov for P8
6,Fidan Basak overtook Jamar Henry for P6
6,Damien Quibuyen overtook Sydney Aspen for P3
6,Berend Boer overtook Aida Haque for P1
7,Niamh Murphy overtook Nelson Ramsey for P18
7,Eli Huertez overtook Thorleif Valtyrsdotter for P16
7,Thorleif Valtyrsdotter overtook Liesje Roser for P15
7,Liesje Roser overtook Kanno Sora for P14
7,Ananda Chohan overtook Aleksa Kozlov for P8
7,Fidan Basak overtook Ye Li for P6
7,Damien Quibuyen overtook Jamar Henry for P4
7,Sydney Aspen overtook Aida Haque for P2
8,Erwin Kramer overtook Eli Huertez for P17
8,Damien Quibuyen overtook Aida Haque for P2
9,Ananda Chohan overtook Aleksa Kozlov for P9
9,Aleksa Kozlov overtook Mark Graham for P8
9,Sydney Aspen overtook Aida Haque for P4
9,Aida Haque overtook Berend Boer for P3
10,Niamh Murphy overtook Thorleif Valtyrsdotter for P16
10,Aleksa Kozlov overtook Ananda Chohan for P10
10,Jamar Henry overtook Aida Haque for P4
11,Eli Huertez overtook Nelson Ramsey for P19
11,Niamh Murphy overtook Thorleif Valtyrsdotter for P16
11,Franc Abel overtook Al Fabet for P12
11,Aleksa Kozlov overtook Monica Niculescu for P9
11,Fidan Basak overtook Berend Boer for P6
11,Aida Haque overtook Damien Quibuyen for P1
12,Eli Huertez overtook Kanno Sora for P16
12,Kanno Sora overtook Thorleif Valtyrsdotter for P15
12,Al Fabet overtook Franc Abel for P12
12,Aleksa Kozlov overtook Mark Graham for P8
12,Jamar Henry overtook Damien Quibuyen for P3
12,Damien Quibuyen overtook Sydney Aspen for P2
12,Sydney Aspen overtook Aida Haque for P1
13,Erwin Kramer overtook Liesje Roser for P17
13,Thorleif Valtyrsdotter overtook Kanno Sora for P15
13,Kanno Sora overtook Niamh Murphy for P14
13,Ananda Chohan overtook Aleksa Kozlov for P8
14,Nelson Ramsey overtook Eli Huertez for P19
14,Eli Huertez overtook Liesje Roser for P18
14,Franc Abel overtook Al Fabet for P12
14,Ananda Chohan overtook Aleksa Kozlov for P8
14,Fidan Basak overtook Damien Quibuyen for P6
14,Jamar Henry overtook Aida Haque for P1
15,Eli Huertez overtook Thorleif Valtyrsdotter for P18
15,Ananda Chohan overtook Aleksa Kozlov for P9
15,Berend Boer overtook Ye Li for P5
15,Sydney Aspen overtook Aida Haque for P2
16,Nelson Ramsey overtook Thorleif Valtyrsdotter for P18
16,Thorleif Valtyrsdotter overtook Erwin Kramer for P17
16,Erwin Kramer overtook Liesje Roser for P16
17,Jamar Henry pits: Soft -> Medium
17,Fidan Basak pits: Soft -> Medium
17,Monica Niculescu pits: Soft -> Medium
17,Thorleif Valtyrsdotter overtook Liesje Roser for P15
17,Franc Abel overtook Al Fabet for P9
17,Al Fabet overtook Ananda Chohan for P8
17,Mark Graham overtook Aleksa Kozlov for P6
18,Aida Haque pits: Soft -> Medium
18,Sydney Aspen pits: Soft -> Medium
18,Berend Boer pits: Soft -> Medium
18,Aleksa Kozlov pits: Soft -> Medium
18,Sydney Aspen overtook Jamar Henry for P15
18,Erwin Kramer overtook Nelson Ramsey for P11
19,Damien Quibuyen pits: Soft -> Medium
19,Ye Li pits: Soft -> Medium
19,Ye Li overtook Aleksa Kozlov for P18
19,Sydney Aspen overtook Nelson Ramsey for P12
19,Nelson Ramsey overtook Aida Haque for P11
19,Kanno Sora overtook Thorleif Valtyrsdotter for P8
19,Erwin Kramer overtook Liesje Roser for P6
19,Al Fabet overtook Ananda Chohan for P3
20,Nelson Ramsey retired
20,Aleksa Kozlov overtook Fidan Basak for P17
20,Berend Boer overtook Damien Quibuyen for P14
20,Eli Huertez overtook Aida Haque for P11
21,Fidan Basak overtook Damien Quibuyen for P16
21,Damien Quibuyen overtook Aleksa Kozlov for P15
21,Aleksa Kozlov overtook Berend Boer for P14
21,Eli Huertez overtook Erwin Kramer for P11
21,Sydney Aspen overtook Aida Haque for P9
22,Damien Quibuyen overtook Aleksa Kozlov for P15
22,Aleksa Kozlov overtook Berend Boer for P14
23,Ananda Chohan pits: Medium -> Hard
23,Monica Niculescu overtook Ye Li for P17
23,Ye Li overtook Fidan Basak for P16
23,Fidan Basak overtook Damien Quibuyen for P15
23,Erwin Kramer overtook Jamar Henry for P11
23,Eli Huertez overtook Liesje Roser for P8
23,Kanno Sora overtook Niamh Murphy for P4
23,Al Fabet overtook Franc Abel for P2
24,Mark Graham pits: Medium -> Hard
24,Liesje Roser pits: Medium -> Hard
24,Thorleif Valtyrsdotter pits: Medium -> Hard
24,Mark Graham overtook Ye Li for P15
24,Ye Li overtook Monica Niculescu for P14
24,Jamar Henry overtook Erwin Kramer for P8
24,Kanno Sora overtook Sydney Aspen for P4
25,Franc Abel pits: Medium -> Hard
25,Niamh Murphy pits: Medium -> Hard
25,Damien Quibuyen overtook Erwin Kramer for P9
25,Jamar Henry overtook Aida Haque for P4
26,Monica Niculescu overtook Fidan Basak for P11
26,Berend Boer overtook Eli Huertez for P6
26,Kanno Sora overtook Jamar Henry for P3
27,Mark Graham overtook Erwin Kramer for P13
27,Erwin Kramer overtook Monica Niculescu for P12
27,Monica Niculescu overtook Fidan Basak for P11
27,Damien Quibuyen overtook Ye Li for P7
27,Ye Li overtook Berend Boer for P6
27,Aida Haque overtook Kanno Sora for P4
28,Fidan Basak overtook Erwin Kramer for P12
28,Berend Boer overtook Aleksa Kozlov for P6
29,Ananda Chohan overtook Franc Abel for P15
29,Ye Li overtook Monica Niculescu for P10
29,Eli Huertez overtook Aleksa Kozlov for P8
29,Kanno Sora overtook Sydney Aspen for P3
30,Erwin Kramer overtook Mark Graham for P13
30,Fidan Basak overtook Eli Huertez for P11
30,Aleksa Kozlov overtook Berend Boer for P7
30,Sydney Aspen overtook Aida Haque for P2
31,Mark Graham overtook Erwin Kramer for P13
31,Ye Li overtook Fidan Basak for P10
31,Kanno Sora overtook Sydney Aspen for P2
32,Liesje Roser overtook Thorleif Valtyrsdotter for P18
32,Berend Boer overtook Monica Niculescu for P9
32,Monica Niculescu overtook Eli Huertez for P8
32,Aleksa Kozlov overtook Damien Quibuyen for P6
32,Damien Quibuyen overtook Jamar Henry for P5
32,Jamar Henry overtook Aida Haque for P4
33,Kanno Sora pits: Hard -> Soft
33,Liesje Roser overtook Thorleif Valtyrsdotter for P18
33,Mark Graham overtook Erwin Kramer for P12
34,Eli Huertez pits: Hard -> Soft
34,Ananda Chohan overtook Franc Abel for P13
34,Mark Graham overtook Fidan Basak for P10
34,Ye Li overtook Berend Boer for P8
34,Berend Boer overtook Monica Niculescu for P7
34,Aleksa Kozlov overtook Damien Quibuyen for P5
35,Al Fabet pits: Hard -> Soft
35,Erwin Kramer pits: Hard -> Soft
35,Liesje Roser overtook Thorleif Valtyrsdotter for P17
35,Mark Graham overtook Fidan Basak for P9
35,Aleksa Kozlov overtook Damien Quibuyen for P4
35,Damien Quibuyen overtook Aida Haque for P3
36,Ye Li overtook Berend Boer for P6
36,Berend Boer overtook Sydney Aspen for P5
37,Thorleif Valtyrsdotter overtook Liesje Roser for P17
38,Jamar Henry pits: Medium -> Soft
38,Monica Niculescu pits: Medium -> Soft
38,Fidan Basak pits: Medium -> Soft
38,Liesje Roser overtook Thorleif Valtyrsdotter for P17
38,Thorleif Valtyrsdotter overtook Fidan Basak for P16
38,Al Fabet overtook Mark Graham for P7
38,Sydney Aspen overtook Aida Haque for P3
38,Aida Haque overtook Berend Boer for P2
38,Berend Boer overtook Damien Quibuyen for P1
39,Berend Boer pits: Medium -> Soft
39,Aida Haque pits: Medium -> Soft
39,Sydney Aspen pits: Medium -> Soft
39,Aleksa Kozlov pits: Medium -> Soft
39,Niamh Murphy overtook Monica Niculescu for P14
39,Berend Boer overtook Aida Haque for P10
39,Franc Abel overtook Ananda Chohan for P5
39,Al Fabet overtook Mark Graham for P3
40,Damien Quibuyen pits: Medium -> Soft
40,Ye Li pits: Medium -> Soft
40,Damien Quibuyen overtook Ye Li for P11
40,Jamar Henry overtook Kanno Sora for P5
40,Franc Abel overtook Ananda Chohan for P3
41,Niamh Murphy overtook Monica Niculescu for P14
41,Damien Quibuyen overtook Eli Huertez for P9
41,Eli Huertez overtook Aida Haque for P8
41,Aida Haque overtook Berend Boer for P7
42,Thorleif Valtyrsdotter overtook Erwin Kramer for P17
42,Aleksa Kozlov overtook Damien Quibuyen for P11
42,Eli Huertez overtook Aida Haque for P9
43,Niamh Murphy overtook Monica Niculescu for P15
43,Aida Haque overtook Damien Quibuyen for P9
43,Damien Quibuyen overtook Eli Huertez for P8
44,Berend Boer overtook Aleksa Kozlov for P10
44,Damien Quibuyen overtook Aida Haque for P8
45,Monica Niculescu overtook Fidan Basak for P14
45,Aleksa Kozlov overtook Eli Huertez for P11
45,Ananda Chohan overtook Kanno Sora for P4
45,Mark Graham overtook Al Fabet for P1
46,Ye Li overtook Eli Huertez for P12
46,Damien Quibuyen overtook Aleksa Kozlov for P10
47,Jamar Henry overtook Sydney Aspen for P4
48,Liesje Roser overtook Thorleif Valtyrsdotter for P18
48,Aleksa Kozlov overtook Kanno Sora for P9
48,Kanno Sora overtook Berend Boer for P8
48,Jamar Henry overtook Sydney Aspen for P4
49,Berend Boer overtook Damien Quibuyen for P8
50,Ananda Chohan overtook Kanno Sora for P10
50,Jamar Henry overtook Sydney Aspen for P4
