Track,Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
Silverstone,1,1,Franc Abel,Shell Motorsports,Medium,1,9,1:49.432,0.000,0.000,Running
Silverstone,2,9,Fidan Basak,Pulang Kabayo Racing,Hard,1,14,1:49.659,4.114,4.114,Running
Silverstone,3,2,Berend Boer,Shell Motorsports,Medium,2,2,1:48.999,14.356,10.243,Running
Silverstone,4,5,Jamar Henry,Trike Motorsports,Soft,2,9,1:49.021,16.299,1.943,Running
Silverstone,5,4,Mark Graham,Trike Motorsports,Soft,2,7,1:49.120,18.250,1.950,Running
Silverstone,6,3,Eli Huertez,Pulang Kabayo Racing,Soft,2,9,1:48.904,18.717,0.467,Running
Silverstone,7,11,Sydney Aspen,Villiuride Racing,Hard,1,6,1:49.690,21.176,2.459,Running
Silverstone,8,16,Aida Haque,Icarus,Soft,2,11,1:49.326,21.226,0.050,Running
Silverstone,9,7,Aleksa Kozlov,LFL Engineering,Medium,2,12,1:49.125,23.962,2.736,Running
Silverstone,10,6,Kanno Sora,LFL Engineering,Soft,2,13,1:49.138,26.106,2.144,Running
Silverstone,11,12,Liesje Roser,Dacia Racing Team,Medium,2,9,1:49.461,27.553,1.448,Running
Silverstone,12,14,Ye Li,Racing Life,Medium,1,13,1:49.307,30.121,2.567,Running
Silverstone,13,13,Damien Quibuyen,Mercedes AMG Motorsport,Medium,2,8,1:49.573,33.364,3.244,Running
Silverstone,14,15,Niamh Murphy,Racing Life,Hard,1,7,1:49.887,38.647,5.282,Running
Silverstone,15,17,Ananda Chohan,Mercedes AMG Motorsport,Soft,2,7,1:49.659,46.312,7.665,Running
Silverstone,16,10,Al Fabet,Villiuride Racing,Medium,1,10,1:49.185,,,Mechanical failure on lap 35
Silverstone,17,8,Monica Niculescu,Dacia Racing Team,Hard,1,11,1:49.872,,,Crashed on lap 35
Silverstone,18,18,Clara Longo,Icarus,Hard,1,3,1:49.825,,,Mechanical failure on lap 27
