Lap,Event
1,Al Fabet sets the fastest lap: 1:24.237
1,Sydney Aspen sets the fastest lap: 1:23.326
1,Berend Boer sets the fastest lap: 1:22.441
1,Niamh Murphy overtook Thorleif Valtyrsdotter for P18
1,Nelson Ramsey overtook Liesje Roser for P15
1,Ananda Chohan overtook Aida Haque for P8
1,Sydney Aspen overtook Berend Boer for P1
2,Liesje Roser overtook Erwin Kramer for P19
2,Ye Li overtook Mark Graham for P6
2,Mark Graham overtook Franc Abel for P5
2,Jamar Henry overtook Damien Quibuyen for P3
3,Eli Huertez overtook Nelson Ramsey for P17
3,Nelson Ramsey overtook Niamh Murphy for P17
3,Niamh Murphy overtook Erwin Kramer for P15
3,Kanno Sora overtook Aleksa Kozlov for P12
3,Aleksa Kozlov overtook Monica Niculescu for P11
3,Monica Niculescu overtook Aida Haque for P10
3,Aida Haque overtook Franc Abel for P9
3,Al Fabet overtook Ye Li for P6
3,Jamar Henry overtook Mark Graham for P4
3,Mark Graham overtook Berend Boer for P3
3,Berend Boer overtook Damien Quibuyen for P2
3,Damien Quibuyen overtook Sydney Aspen for P1
4,Liesje Roser overtook Erwin Kramer for P19
4,Thorleif Valtyrsdotter overtook Niamh Murphy for P16
4,Eli Huertez overtook Kanno Sora for P14
4,Aleksa Kozlov overtook Fidan Basak for P12
4,Fidan Basak overtook Franc Abel for P11
4,Ananda Chohan overtook Monica Niculescu for P9
4,Aida Haque overtook Jamar Henry for P5
4,Damien Quibuyen overtook Sydney Aspen for P1
5,Nelson Ramsey overtook Thorleif Valtyrsdotter for P18
5,Kanno Sora overtook Liesje Roser for P16
5,Liesje Roser overtook Eli Huertez for P15
5,Niamh Murphy overtook Aleksa Kozlov for P13
5,Franc Abel overtook Monica Niculescu for P11
5,Al Fabet overtook Fidan Basak for P9
5,Mark Graham overtook Jamar Henry for P6
5,Jamar Henry overtook Ye Li for P6
6,Eli Huertez overtook Kanno Sora for P15
6,Kanno Sora overtook Liesje Roser for P14
6,Al Fabet overtook Niamh Murphy for P12
6,Ananda Chohan overtook Franc Abel for P9
6,Franc Abel overtook Fidan Basak for P8
6,Jamar Henry overtook Ye Li for P4
6,Ye Li overtook Berend Boer for P3
7,Thorleif Valtyrsdotter overtook Nelson Ramsey for P18
7,Al Fabet overtook Monica Niculescu for P11
7,Monica Niculescu overtook Franc Abel for P10
7,Franc Abel overtook Ananda Chohan for P9
7,Ananda Chohan overtook Mark Graham for P8
7,Ye Li overtook Berend Boer for P4
7,Berend Boer overtook Jamar Henry for P3
7,Jamar Henry overtook Damien Quibuyen for P2
8,Liesje Roser overtook Aleksa Kozlov for P14
8,Fidan Basak overtook Monica Niculescu for P9
8,Franc Abel overtook Mark Graham for P7
8,Berend Boer overtook Damien Quibuyen for P2
9,Erwin Kramer retired
9,Thorleif Valtyrsdotter overtook Nelson Ramsey for P18
9,Liesje Roser overtook Al Fabet for P12
9,Al Fabet overtook Franc Abel for P11
9,Franc Abel overtook Ananda Chohan for P10
9,Ananda Chohan overtook Monica Niculescu for P9
10,Kanno Sora overtook Eli Huertez for P16
10,Franc Abel overtook Ananda Chohan for P10
10,Mark Graham overtook Monica Niculescu for P7
11,Kanno Sora overtook Nelson Ramsey for P17
11,Nelson Ramsey overtook Eli Huertez for P16
11,Mark Graham overtook Fidan Basak for P10
11,Ye Li overtook Jamar Henry for P4
11,Jamar Henry overtook Damien Quibuyen for P3
12,Fidan Basak overtook Aida Haque for P10
13,Ananda Chohan overtook Aida Haque for P11
13,Mark Graham overtook Fidan Basak for P8
14,Ye Li overtook Jamar Henry for P4
14,Damien Quibuyen overtook Sydney Aspen for P2
