Lap,Event
1,Berend Boer sets the fastest lap: 1:49.903
1,Eli Huertez sets the fastest lap: 1:49.040
1,Ye Li overtook Fidan Basak for P9
1,Jamar Henry overtook Kanno Sora for P5
2,Berend Boer sets the fastest lap: 1:48.688
2,Al Fabet overtook Damien Quibuyen for P10
2,Damien Quibuyen overtook Fidan Basak for P9
3,Monica Niculescu overtook Aida Haque for P16
3,Aida Haque overtook Aleksa Kozlov for P15
3,Clara Longo overtook Ananda Chohan for P13
3,Ananda Chohan overtook Kanno Sora for P12
3,Sydney Aspen overtook Fidan Basak for P8
3,Eli Huertez overtook Liesje Roser for P2
4,Monica Niculescu overtook Clara Longo for P12
4,Eli Huertez overtook Liesje Roser for P3
4,Liesje Roser overtook Jamar Henry for P2
5,Ye Li overtook Kanno Sora for P14
5,Clara Longo overtook Monica Niculescu for P12
5,Monica Niculescu overtook Ananda Chohan for P11
5,Mark Graham overtook Franc Abel for P6
6,Aida Haque overtook Aleksa Kozlov for P16
6,Kanno Sora overtook Ye Li for P14
6,Ananda Chohan overtook Monica Niculescu for P11
6,Fidan Basak overtook Franc Abel for P6
7,Ye Li overtook Monica Niculescu for P12
7,Al Fabet overtook Franc Abel for P6
7,Franc Abel overtook Mark Graham for P5
7,Mark Graham overtook Liesje Roser for P4
8,Mark Graham sets the fastest lap: 1:48.519
8,Damien Quibuyen pits: Soft -> Hard
8,Sydney Aspen overtook Ye Li for P11
8,Fidan Basak overtook Ananda Chohan for P8
8,Ananda Chohan overtook Al Fabet for P7
8,Al Fabet overtook Franc Abel for P6
8,Liesje Roser overtook Jamar Henry for P4
8,Berend Boer overtook Mark Graham for P2
9,Monica Niculescu overtook Fidan Basak for P9
9,Franc Abel overtook Al Fabet for P6
9,Jamar Henry overtook Berend Boer for P2
9,Berend Boer overtook Eli Huertez for P1
10,Kanno Sora pits: Medium -> Hard
10,Ananda Chohan overtook Franc Abel for P6
10,Jamar Henry overtook Mark Graham for P1
11,Berend Boer retired
11,Mark Graham overtook Jamar Henry for P1
12,Aleksa Kozlov pits: Medium -> Hard
12,Fidan Basak overtook Franc Abel for P7
12,Jamar Henry overtook Eli Huertez for P2
12,Eli Huertez overtook Mark Graham for P1
13,Sydney Aspen overtook Clara Longo for P11
13,Franc Abel overtook Ananda Chohan for P5
14,Liesje Roser pits: Soft -> Hard
14,Aleksa Kozlov overtook Kanno Sora for P16
14,Fidan Basak overtook Monica Niculescu for P7
14,Al Fabet overtook Ananda Chohan for P4
14,Mark Graham overtook Jamar Henry for P2
15,Al Fabet pits: Soft -> Hard
15,Ananda Chohan pits: Soft -> Medium
15,Liesje Roser overtook Ananda Chohan for P12
15,Sydney Aspen overtook Clara Longo for P8
16,Eli Huertez pits: Soft -> Medium
16,Sydney Aspen retired
16,Liesje Roser overtook Ananda Chohan for P11
16,Niamh Murphy overtook Eli Huertez for P9
17,Mark Graham pits: Soft -> Medium
17,Jamar Henry pits: Soft -> Medium
17,Monica Niculescu pits: Soft -> Medium
17,Monica Niculescu overtook Al Fabet for P12
17,Mark Graham overtook Aida Haque for P5
17,Franc Abel overtook Fidan Basak for P1
18,Clara Longo pits: Soft -> Medium
18,Aleksa Kozlov overtook Kanno Sora for P14
18,Ananda Chohan overtook Liesje Roser for P9
18,Jamar Henry overtook Eli Huertez for P7
18,Eli Huertez overtook Niamh Murphy for P6
18,Niamh Murphy overtook Aida Haque for P5
18,Aida Haque overtook Mark Graham for P4
19,Aleksa Kozlov overtook Damien Quibuyen for P13
19,Eli Huertez overtook Aida Haque for P6
19,Aida Haque overtook Niamh Murphy for P5
19,Fidan Basak overtook Franc Abel for P1
20,Aleksa Kozlov overtook Damien Quibuyen for P13
21,Liesje Roser overtook Ananda Chohan for P9
21,Niamh Murphy overtook Eli Huertez for P4
22,Liesje Roser overtook Ananda Chohan for P9
23,Fidan Basak pits: Medium -> Hard
23,Kanno Sora overtook Clara Longo for P15
23,Clara Longo overtook Damien Quibuyen for P14
23,Monica Niculescu overtook Al Fabet for P10
23,Aida Haque overtook Niamh Murphy for P5
24,Ye Li pits: Medium -> Soft
24,Jamar Henry overtook Niamh Murphy for P4
25,Niamh Murphy pits: Medium -> Soft
25,Kanno Sora pits: Hard -> Hard
25,Fidan Basak overtook Monica Niculescu for P8
25,Liesje Roser overtook Ananda Chohan for P6
26,Franc Abel pits: Medium -> Soft
26,Aida Haque pits: Medium -> Soft
26,Aida Haque overtook Niamh Murphy for P14
26,Monica Niculescu overtook Franc Abel for P6
27,Fidan Basak overtook Monica Niculescu for P7
27,Liesje Roser overtook Ananda Chohan for P4
28,Franc Abel overtook Fidan Basak for P6
29,Fidan Basak overtook Ananda Chohan for P6
30,Ye Li overtook Al Fabet for P9
