Lap,Event
1,Franc Abel sets the fastest lap: 1:49.119
1,Aida Haque overtook Aleksa Kozlov for P16
1,Ye Li overtook Monica Niculescu for P11
1,Monica Niculescu overtook Ananda Chohan for P11
1,Niamh Murphy overtook Kanno Sora for P8
1,Jamar Henry overtook Berend Boer for P2
2,Fidan Basak overtook Aida Haque for P16
2,Kanno Sora overtook Ananda Chohan for P11
2,Monica Niculescu overtook Liesje Roser for P8
2,Jamar Henry overtook Niamh Murphy for P3
3,Aleksa Kozlov overtook Fidan Basak for P16
3,Ananda Chohan overtook Kanno Sora for P11
3,Monica Niculescu overtook Liesje Roser for P6
3,Berend Boer overtook Mark Graham for P3
4,Damien Quibuyen overtook Fidan Basak for P14
4,Fidan Basak overtook Aleksa Kozlov for P13
4,Ye Li overtook Eli Huertez for P9
4,Ananda Chohan overtook Jamar Henry for P7
4,Jamar Henry overtook Monica Niculescu for P6
4,Monica Niculescu overtook Sydney Aspen for P5
4,Sydney Aspen overtook Niamh Murphy for P4
4,Mark Graham overtook Berend Boer for P2
5,Fidan Basak overtook Kanno Sora for P13
5,Damien Quibuyen overtook Ye Li for P11
5,Eli Huertez overtook Monica Niculescu for P6
5,Sydney Aspen overtook Niamh Murphy for P3
5,Franc Abel overtook Berend Boer for P1
6,Mark Graham sets the fastest lap: 1:49.108
6,Ye Li overtook Ananda Chohan for P11
6,Monica Niculescu overtook Niamh Murphy for P5
6,Niamh Murphy overtook Sydney Aspen for P4
6,Sydney Aspen overtook Mark Graham for P3
6,Franc Abel overtook Berend Boer for P1
7,Monica Niculescu sets the fastest lap: 1:49.011
7,Aida Haque overtook Al Fabet for P16
7,Kanno Sora overtook Fidan Basak for P14
7,Fidan Basak overtook Aleksa Kozlov for P13
7,Damien Quibuyen overtook Ye Li for P9
7,Sydney Aspen overtook Mark Graham for P4
7,Mark Graham overtook Monica Niculescu for P3
8,Niamh Murphy overtook Jamar Henry for P7
8,Eli Huertez overtook Berend Boer for P4
8,Berend Boer overtook Monica Niculescu for P4
9,Al Fabet overtook Fidan Basak for P15
9,Ananda Chohan overtook Damien Quibuyen for P9
9,Damien Quibuyen overtook Jamar Henry for P8
9,Jamar Henry overtook Niamh Murphy for P7
9,Eli Huertez overtook Monica Niculescu for P2
10,Kanno Sora pits: Medium -> Hard
10,Damien Quibuyen overtook Jamar Henry for P8
10,Jamar Henry overtook Niamh Murphy for P7
10,Niamh Murphy overtook Berend Boer for P6
11,Aida Haque overtook Al Fabet for P14
11,Jamar Henry overtook Niamh Murphy for P7
12,Aleksa Kozlov pits: Medium -> Hard
12,Ye Li overtook Liesje Roser for P11
12,Monica Niculescu overtook Jamar Henry for P6
13,Aleksa Kozlov overtook Kanno Sora for P17
13,Berend Boer overtook Monica Niculescu for P7
