Lap,Position,Last Lap Position,Diff,Driver,Team,Tyre,Lap Time,Gap Ahead,Gap to Leader,Status
1,1,1,0,Franc Abel,Shell Motorsports,Soft,1:49.119,-,-,Running
1,2,2,0,Jamar Henry,Trike Motorsports,Medium,1:49.464,+0.682,+0.682,Running
1,3,3,0,Berend Boer,Shell Motorsports,Medium,1:49.602,+0.050,+0.732,Running
1,4,4,0,Mark Graham,Trike Motorsports,Soft,1:49.882,+0.781,+1.513,Running
1,5,5,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:49.676,+0.544,+2.057,Running
1,6,6,0,Sydney Aspen,Villiuride Racing,Soft,1:50.307,+0.131,+2.188,Running
1,7,7,0,Liesje Roser,Dacia Racing Team,Soft,1:49.641,+0.583,+2.771,Running
1,8,8,0,Niamh Murphy,Racing Life,Soft,1:49.218,+0.099,+2.870,Running
1,9,9,0,Kanno Sora,LFL Engineering,Medium,1:50.040,+0.050,+2.920,Running
1,10,10,0,Monica Niculescu,Dacia Racing Team,Soft,1:51.269,+0.387,+3.308,Running
1,11,11,0,Ye Li,Racing Life,Medium,1:51.576,+0.042,+3.349,Running
1,12,12,0,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:49.977,+0.008,+3.358,Running
1,13,13,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:50.510,+1.033,+4.391,Running
1,14,14,0,Al Fabet,Villiuride Racing,Medium,1:51.068,+0.308,+4.698,Running
1,15,15,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:50.162,+0.094,+4.792,Running
1,16,16,0,Aida Haque,Icarus,Medium,1:51.029,+0.233,+5.026,Running
1,17,17,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.695,+0.050,+5.076,Running
1,18,18,0,Clara Longo,Icarus,Hard,1:51.638,+1.693,+6.769,Running
2,1,1,0,Franc Abel,Shell Motorsports,Soft,1:51.133,-,-,Running
2,2,3,1,Berend Boer,Shell Motorsports,Medium,1:51.405,+1.004,+1.004,Running
2,3,2,-1,Jamar Henry,Trike Motorsports,Medium,1:51.858,+0.106,+1.110,Running
2,4,8,4,Niamh Murphy,Racing Life,Soft,1:49.423,+0.050,+1.160,Running
2,5,4,-1,Mark Graham,Trike Motorsports,Soft,1:51.256,+0.476,+1.636,Running
2,6,6,0,Sydney Aspen,Villiuride Racing,Soft,1:50.778,+0.197,+1.833,Running
2,7,5,-2,Eli Huertez,Pulang Kabayo Racing,Soft,1:51.039,+0.130,+1.963,Running
2,8,10,2,Monica Niculescu,Dacia Racing Team,Soft,1:50.135,+0.045,+2.008,Running
2,9,7,-2,Liesje Roser,Dacia Racing Team,Soft,1:50.420,+0.050,+2.058,Running
2,10,11,1,Ye Li,Racing Life,Medium,1:50.323,+0.481,+2.539,Running
2,11,9,-2,Kanno Sora,LFL Engineering,Medium,1:51.953,+0.995,+3.534,Running
2,12,12,0,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:51.359,+0.050,+3.584,Running
2,13,13,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:50.821,+0.496,+4.080,Running
2,14,14,0,Al Fabet,Villiuride Racing,Medium,1:50.837,+0.323,+4.402,Running
2,15,17,2,Aleksa Kozlov,LFL Engineering,Medium,1:51.444,+0.985,+5.388,Running
2,16,15,-1,Fidan Basak,Pulang Kabayo Racing,Medium,1:52.003,+0.158,+5.546,Running
2,17,16,-1,Aida Haque,Icarus,Medium,1:51.702,+0.050,+5.596,Running
2,18,18,0,Clara Longo,Icarus,Hard,1:50.592,+0.632,+6.228,Running
3,1,1,0,Franc Abel,Shell Motorsports,Soft,1:50.426,-,-,Running
3,2,4,2,Niamh Murphy,Racing Life,Soft,1:50.255,+0.990,+0.990,Running
3,3,2,-1,Berend Boer,Shell Motorsports,Medium,1:50.907,+0.414,+1.404,Running
3,4,5,1,Mark Graham,Trike Motorsports,Soft,1:50.244,+0.050,+1.454,Running
3,5,6,1,Sydney Aspen,Villiuride Racing,Soft,1:50.700,+0.653,+2.107,Running
3,6,8,2,Monica Niculescu,Dacia Racing Team,Soft,1:50.769,+0.001,+2.108,Running
3,7,9,2,Liesje Roser,Dacia Racing Team,Soft,1:50.525,+0.050,+2.158,Running
3,8,7,-1,Eli Huertez,Pulang Kabayo Racing,Soft,1:51.084,+0.463,+2.621,Running
3,9,3,-6,Jamar Henry,Trike Motorsports,Medium,1:52.024,+0.087,+2.708,Running
3,10,10,0,Ye Li,Racing Life,Medium,1:51.154,+0.559,+3.267,Running
3,11,12,1,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:50.642,+0.132,+3.399,Running
3,12,11,-1,Kanno Sora,LFL Engineering,Medium,1:50.341,+0.050,+3.449,Running
3,13,14,1,Al Fabet,Villiuride Racing,Medium,1:50.389,+0.917,+4.366,Running
3,14,17,3,Aida Haque,Icarus,Medium,1:49.996,+0.800,+5.166,Running
3,15,13,-2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:51.648,+0.136,+5.302,Running
3,16,15,-1,Aleksa Kozlov,LFL Engineering,Medium,1:50.894,+0.001,+5.303,Running
3,17,16,-1,Fidan Basak,Pulang Kabayo Racing,Medium,1:50.233,+0.050,+5.353,Running
3,18,18,0,Clara Longo,Icarus,Hard,1:52.464,+2.912,+8.266,Running
4,1,1,0,Franc Abel,Shell Motorsports,Soft,1:50.376,-,-,Running
4,2,4,2,Mark Graham,Trike Motorsports,Soft,1:49.993,+0.846,+0.846,Running
4,3,3,0,Berend Boer,Shell Motorsports,Medium,1:49.868,+0.050,+0.896,Running
4,4,5,1,Sydney Aspen,Villiuride Racing,Soft,1:50.042,+0.417,+1.312,Running
4,5,2,-3,Niamh Murphy,Racing Life,Soft,1:50.748,+0.050,+1.362,Running
4,6,6,0,Monica Niculescu,Dacia Racing Team,Soft,1:50.243,+0.360,+1.722,Running
4,7,9,2,Jamar Henry,Trike Motorsports,Medium,1:50.312,+0.203,+1.925,Running
4,8,11,3,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:49.813,+0.669,+2.594,Running
4,9,10,1,Ye Li,Racing Life,Medium,1:50.231,+0.262,+2.856,Running
4,10,8,-2,Eli Huertez,Pulang Kabayo Racing,Soft,1:50.661,+0.050,+2.906,Running
4,11,7,-4,Liesje Roser,Dacia Racing Team,Soft,1:51.485,+0.361,+3.267,Running
4,12,12,0,Kanno Sora,LFL Engineering,Medium,1:51.264,+1.070,+4.337,Running
4,13,17,4,Fidan Basak,Pulang Kabayo Racing,Medium,1:49.936,+0.136,+4.473,Running
4,14,16,2,Aleksa Kozlov,LFL Engineering,Medium,1:49.596,+0.050,+4.523,Running
4,15,15,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:50.320,+0.340,+4.863,Running
4,16,13,-3,Al Fabet,Villiuride Racing,Medium,1:51.583,+0.710,+5.573,Running
4,17,14,-3,Aida Haque,Icarus,Medium,1:51.508,+0.725,+6.298,Running
4,18,18,0,Clara Longo,Icarus,Hard,1:52.685,+4.277,+10.575,Running
5,1,1,0,Franc Abel,Shell Motorsports,Soft,1:50.453,-,-,Running
5,2,3,1,Berend Boer,Shell Motorsports,Medium,1:49.315,+0.050,+0.050,Running
5,3,4,1,Sydney Aspen,Villiuride Racing,Soft,1:49.652,+0.658,+0.708,Running
5,4,5,1,Niamh Murphy,Racing Life,Soft,1:49.557,+0.050,+0.758,Running
5,5,2,-3,Mark Graham,Trike Motorsports,Soft,1:50.236,+0.163,+0.921,Running
5,6,10,4,Eli Huertez,Pulang Kabayo Racing,Soft,1:49.543,+0.519,+1.440,Running
5,7,6,-1,Monica Niculescu,Dacia Racing Team,Soft,1:49.928,+0.050,+1.490,Running
5,8,11,3,Liesje Roser,Dacia Racing Team,Soft,1:49.181,+0.798,+2.288,Running
5,9,7,-2,Jamar Henry,Trike Motorsports,Medium,1:50.741,+0.217,+2.505,Running
5,10,8,-2,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:50.437,+0.365,+2.871,Running
5,11,15,4,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:49.457,+0.239,+3.110,Running
5,12,9,-3,Ye Li,Racing Life,Medium,1:50.464,+0.050,+3.160,Running
5,13,13,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:50.645,+1.720,+4.880,Running
5,14,12,-2,Kanno Sora,LFL Engineering,Medium,1:50.753,+0.050,+4.930,Running
5,15,16,1,Al Fabet,Villiuride Racing,Medium,1:50.053,+0.535,+5.465,Running
5,16,14,-2,Aleksa Kozlov,LFL Engineering,Medium,1:51.316,+0.214,+5.679,Running
5,17,17,0,Aida Haque,Icarus,Medium,1:51.733,+2.191,+7.870,Running
5,18,18,0,Clara Longo,Icarus,Hard,1:50.598,+3.143,+11.013,Running
6,1,1,0,Franc Abel,Shell Motorsports,Soft,1:50.003,-,-,Running
6,2,2,0,Berend Boer,Shell Motorsports,Medium,1:49.315,+0.050,+0.050,Running
6,3,3,0,Sydney Aspen,Villiuride Racing,Soft,1:49.686,+0.615,+0.665,Running
6,4,5,1,Mark Graham,Trike Motorsports,Soft,1:49.108,+0.050,+0.715,Running
6,5,4,-1,Niamh Murphy,Racing Life,Soft,1:50.188,+0.315,+1.030,Running
6,6,7,1,Monica Niculescu,Dacia Racing Team,Soft,1:49.843,+0.552,+1.582,Running
6,7,6,-1,Eli Huertez,Pulang Kabayo Racing,Soft,1:49.981,+0.525,+2.107,Running
6,8,9,1,Jamar Henry,Trike Motorsports,Medium,1:50.221,+1.305,+3.412,Running
6,9,8,-1,Liesje Roser,Dacia Racing Team,Soft,1:50.851,+0.412,+3.824,Running
6,10,11,1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:50.070,+0.041,+3.865,Running
6,11,12,1,Ye Li,Racing Life,Medium,1:51.695,+0.654,+4.519,Running
6,12,10,-2,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:51.013,+0.050,+4.569,Running
6,13,16,3,Aleksa Kozlov,LFL Engineering,Medium,1:50.441,+2.236,+6.805,Running
