Lap,Position,Last Lap Position,Diff,Driver,Team,Tyre,Lap Time,Gap Ahead,Gap to Leader,Status
1,1,1,0,Ye Li,Racing Life,Soft,1:22.161,-,-,Running
1,2,2,0,Mark Graham,Trike Motorsports,Medium,1:23.778,+0.367,+0.367,Running
1,3,3,0,Jamar Henry,Trike Motorsports,Soft,1:24.231,+0.202,+0.570,Running
1,4,4,0,Sydney Aspen,Villiuride Racing,Soft,1:24.038,+0.308,+0.877,Running
1,5,5,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.614,+0.326,+1.203,Running
1,6,6,0,Berend Boer,Orange Wheel Racing,Soft,1:23.879,+0.014,+1.218,Running
1,7,7,0,Al Fabet,Villiuride Racing,Hard,1:25.586,+1.200,+2.418,Running
1,8,8,0,Franc Abel,Orange Wheel Racing,Medium,1:24.379,+0.050,+2.468,Running
1,9,9,0,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.448,+0.157,+2.625,Running
1,10,10,0,Kanno Sora,LFL Engineering,Hard,1:24.751,+0.112,+2.737,Running
1,11,11,0,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.060,+0.662,+3.399,Running
1,12,12,0,Aleksa Kozlov,LFL Engineering,Soft,1:24.777,+0.349,+3.748,Running
1,13,13,0,Niamh Murphy,Racing Life,Medium,1:23.959,+0.050,+3.798,Running
1,14,14,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.813,+0.354,+4.152,Running
1,15,15,0,Monica Niculescu,Dacia Racing Team,Soft,1:25.320,+0.007,+4.159,Running
1,16,16,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.651,+0.419,+4.578,Running
1,17,17,0,Liesje Roser,Dacia Racing Team,Medium,1:24.039,+0.050,+4.628,Running
1,18,18,0,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:24.784,+0.995,+5.623,Running
1,19,19,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:25.871,+0.337,+5.960,Running
1,20,20,0,Erwin Kramer,OHSN Racing,Hard,1:25.736,+0.865,+6.825,Running
2,1,3,2,Jamar Henry,Trike Motorsports,Soft,1:23.344,-,-,Running
2,2,1,-1,Ye Li,Racing Life,Soft,1:24.062,+0.148,+0.148,Running
2,3,2,-1,Mark Graham,Trike Motorsports,Medium,1:24.219,+0.472,+0.620,Running
2,4,4,0,Sydney Aspen,Villiuride Racing,Soft,1:23.706,+0.050,+0.670,Running
2,5,5,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.779,+0.398,+1.068,Running
2,6,9,3,Aida Haque,Scuderia Ivanov Racing,Soft,1:22.813,+0.457,+1.525,Running
2,7,6,-1,Berend Boer,Orange Wheel Racing,Soft,1:25.343,+0.646,+2.171,Running
2,8,8,0,Franc Abel,Orange Wheel Racing,Medium,1:23.666,+0.050,+2.221,Running
2,9,12,3,Aleksa Kozlov,LFL Engineering,Soft,1:23.012,+0.625,+2.846,Running
2,10,11,1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:23.658,+0.297,+3.143,Running
2,11,14,3,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.467,+0.562,+3.705,Running
2,12,7,-5,Al Fabet,Villiuride Racing,Hard,1:25.346,+0.146,+3.850,Running
2,13,10,-3,Kanno Sora,LFL Engineering,Hard,1:25.079,+0.051,+3.902,Running
2,14,13,-1,Niamh Murphy,Racing Life,Medium,1:24.130,+0.112,+4.013,Running
2,15,15,0,Monica Niculescu,Dacia Racing Team,Soft,1:24.575,+0.806,+4.820,Running
2,16,17,1,Liesje Roser,Dacia Racing Team,Medium,1:25.011,+0.905,+5.725,Running
2,17,19,2,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:24.216,+0.537,+6.262,Running
2,18,16,-2,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.995,+0.397,+6.659,Running
2,19,18,-1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:26.131,+1.180,+7.839,Running
2,20,20,0,Erwin Kramer,OHSN Racing,Hard,1:25.317,+0.389,+8.228,Running
3,1,1,0,Jamar Henry,Trike Motorsports,Soft,1:23.494,-,-,Running
3,2,4,2,Sydney Aspen,Villiuride Racing,Soft,1:22.925,+0.101,+0.101,Running
3,3,5,2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.572,+1.045,+1.146,Running
3,4,2,-2,Ye Li,Racing Life,Soft,1:24.885,+0.393,+1.539,Running
3,5,6,1,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.555,+0.046,+1.586,Running
3,6,8,2,Franc Abel,Orange Wheel Racing,Medium,1:24.080,+0.402,+1.988,Running
3,7,7,0,Berend Boer,Orange Wheel Racing,Soft,1:23.361,+0.050,+2.038,Running
3,8,3,-5,Mark Graham,Trike Motorsports,Medium,1:25.871,+0.719,+2.756,Running
3,9,14,5,Niamh Murphy,Racing Life,Medium,1:23.368,+0.388,+3.144,Running
3,10,9,-1,Aleksa Kozlov,LFL Engineering,Soft,1:23.842,+0.050,+3.194,Running
3,11,10,-1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.486,+0.643,+3.837,Running
3,12,15,3,Monica Niculescu,Dacia Racing Team,Soft,1:23.338,+0.826,+4.663,Running
3,13,11,-2,Fidan Basak,Pulang Kabayo Racing,Soft,1:25.181,+0.323,+4.987,Running
3,14,13,-1,Kanno Sora,LFL Engineering,Hard,1:24.629,+0.050,+5.037,Running
3,15,12,-3,Al Fabet,Villiuride Racing,Hard,1:25.691,+1.010,+6.047,Running
3,16,16,0,Liesje Roser,Dacia Racing Team,Medium,1:24.357,+0.541,+6.588,Running
3,17,18,1,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.583,+1.050,+7.638,Running
3,18,17,-1,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:24.920,+0.050,+7.688,Running
3,19,19,0,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:24.344,+0.009,+7.697,Running
3,20,20,0,Erwin Kramer,OHSN Racing,Hard,1:24.415,+0.942,+8.640,Running
4,1,1,0,Jamar Henry,Trike Motorsports,Soft,1:22.994,-,-,Running
4,2,3,1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.654,+1.181,+1.181,Running
4,3,2,-1,Sydney Aspen,Villiuride Racing,Soft,1:24.124,+0.050,+1.231,Running
4,4,5,1,Aida Haque,Scuderia Ivanov Racing,Soft,1:23.695,+0.525,+1.756,Running
4,5,7,2,Berend Boer,Orange Wheel Racing,Soft,1:23.768,+1.056,+2.812,Running
4,6,4,-2,Ye Li,Racing Life,Soft,1:24.906,+0.640,+3.452,Running
4,7,8,1,Mark Graham,Trike Motorsports,Medium,1:23.873,+0.184,+3.636,Running
4,8,6,-2,Franc Abel,Orange Wheel Racing,Medium,1:25.558,+0.267,+3.903,Running
4,9,10,1,Aleksa Kozlov,LFL Engineering,Soft,1:23.753,+0.050,+3.953,Running
4,10,12,2,Monica Niculescu,Dacia Racing Team,Soft,1:23.930,+1.194,+5.147,Running
4,11,9,-2,Niamh Murphy,Racing Life,Medium,1:25.046,+0.050,+5.197,Running
4,12,14,2,Kanno Sora,LFL Engineering,Hard,1:24.090,+0.936,+6.133,Running
4,13,13,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.178,+0.038,+6.171,Running
4,14,15,1,Al Fabet,Villiuride Racing,Hard,1:24.394,+0.204,+6.376,Running
4,15,11,-4,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.582,+0.050,+6.426,Running
4,16,16,0,Liesje Roser,Dacia Racing Team,Medium,1:24.532,+1.700,+8.125,Running
4,17,18,1,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:24.914,+1.483,+9.609,Running
4,18,19,1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.138,+0.233,+9.842,Running
4,19,17,-2,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.457,+0.260,+10.101,Running
4,20,20,0,Erwin Kramer,OHSN Racing,Hard,1:25.624,+1.168,+11.270,Running
5,1,1,0,Jamar Henry,Trike Motorsports,Soft,1:24.509,-,-,Running
5,2,3,1,Sydney Aspen,Villiuride Racing,Soft,1:22.870,+0.050,+0.050,Running
5,3,2,-1,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.664,+0.743,+0.793,Running
5,4,6,2,Ye Li,Racing Life,Soft,1:23.996,+2.245,+3.038,Running
5,5,4,-1,Aida Haque,Scuderia Ivanov Racing,Soft,1:25.366,+0.032,+3.071,Running
5,6,5,-1,Berend Boer,Orange Wheel Racing,Soft,1:24.328,+0.018,+3.088,Running
5,7,9,2,Aleksa Kozlov,LFL Engineering,Soft,1:24.010,+0.823,+3.911,Running
5,8,8,0,Franc Abel,Orange Wheel Racing,Medium,1:24.621,+0.561,+4.472,Running
5,9,7,-2,Mark Graham,Trike Motorsports,Medium,1:25.135,+0.248,+4.720,Running
5,10,11,1,Niamh Murphy,Racing Life,Medium,1:23.707,+0.132,+4.852,Running
5,11,10,-1,Monica Niculescu,Dacia Racing Team,Soft,1:25.083,+0.314,+5.165,Running
5,12,13,1,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.096,+0.050,+5.215,Running
5,13,14,1,Al Fabet,Villiuride Racing,Hard,1:24.428,+1.536,+6.752,Running
5,14,15,1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.104,+0.726,+7.478,Running
5,15,12,-3,Kanno Sora,LFL Engineering,Hard,1:25.739,+0.343,+7.821,Running
5,16,18,2,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:23.819,+1.060,+8.881,Running
5,17,16,-1,Liesje Roser,Dacia Racing Team,Medium,1:24.857,+0.050,+8.931,Running
5,18,17,-1,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:25.183,+1.809,+10.740,Running
5,19,19,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:26.055,+1.364,+12.104,Running
5,20,20,0,Erwin Kramer,OHSN Racing,Hard,1:25.889,+1.003,+13.107,Running
6,1,2,1,Sydney Aspen,Villiuride Racing,Soft,1:23.929,-,-,Running
6,2,1,-1,Jamar Henry,Trike Motorsports,Soft,1:24.783,+0.266,+0.266,Running
6,3,3,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.501,+0.050,+0.316,Running
6,4,6,2,Berend Boer,Orange Wheel Racing,Soft,1:23.366,+2.160,+2.475,Running
6,5,4,-1,Ye Li,Racing Life,Soft,1:24.777,+1.361,+3.837,Running
6,6,7,1,Aleksa Kozlov,LFL Engineering,Soft,1:24.476,+0.571,+4.408,Running
6,7,5,-2,Aida Haque,Scuderia Ivanov Racing,Soft,1:25.753,+0.437,+4.845,Running
6,8,8,0,Franc Abel,Orange Wheel Racing,Medium,1:25.004,+0.653,+5.497,Running
6,9,12,3,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.508,+0.248,+5.745,Running
6,10,10,0,Niamh Murphy,Racing Life,Medium,1:25.497,+0.110,+5.855,Running
6,11,9,-2,Mark Graham,Trike Motorsports,Medium,1:25.164,+0.050,+5.905,Running
6,12,11,-1,Monica Niculescu,Dacia Racing Team,Soft,1:25.350,+0.632,+6.537,Running
6,13,13,0,Al Fabet,Villiuride Racing,Hard,1:25.808,+1.388,+7.925,Running
6,14,15,1,Kanno Sora,LFL Engineering,Hard,1:24.133,+0.050,+7.975,Running
6,15,14,-1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.513,+0.556,+8.530,Running
6,16,16,0,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:24.584,+0.956,+9.486,Running
6,17,17,0,Liesje Roser,Dacia Racing Team,Medium,1:25.450,+0.916,+10.402,Running
6,18,19,1,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.112,+1.440,+11.843,Running
6,19,18,-1,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:25.131,+0.050,+11.893,Running
6,20,20,0,Erwin Kramer,OHSN Racing,Hard,1:25.053,+2.288,+14.181,Running
