Track,Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
Zandvoort,1,4,Ye Li,Racing Life,Medium,2,8,1:48.851,0.000,0.000,Running
Zandvoort,2,8,Jamar Henry,Trike Motorsports,Hard,2,8,1:49.051,3.996,3.996,Running
Zandvoort,3,5,Niamh Murphy,Racing Life,Medium,2,4,1:48.897,6.882,2.886,Running
Zandvoort,4,7,Mark Graham,Trike Motorsports,Soft,2,20,1:48.812,14.833,7.951,Running
Zandvoort,5,2,Berend Boer,Shell Motorsports,Hard,1,13,1:49.689,17.036,2.203,Running
Zandvoort,6,11,Sydney Aspen,Villiuride Racing,Soft,2,15,1:49.243,17.086,0.050,Running
Zandvoort,7,6,Ananda Chohan,Mercedes AMG Motorsport,Medium,1,7,1:48.585,20.733,3.647,Running
Zandvoort,8,12,Al Fabet,Villiuride Racing,Hard,2,16,1:49.432,28.260,7.527,Running
Zandvoort,9,16,Aida Haque,Icarus,Soft,2,8,1:49.560,35.002,6.741,Running
Zandvoort,10,15,Fidan Basak,Pulang Kabayo Racing,Hard,1,11,1:49.393,53.267,18.266,Running
Zandvoort,11,10,Eli Huertez,Pulang Kabayo Racing,Soft,2,9,1:48.219,55.948,2.680,Running
Zandvoort,12,18,Clara Longo,Icarus,Soft,2,4,1:49.471,55.998,0.050,Running
Zandvoort,13,13,Liesje Roser,Dacia Racing Team,Medium,2,11,1:49.191,,,Tyre failure on lap 72
Zandvoort,14,1,Damien Quibuyen,Mercedes AMG Motorsport,Hard,1,13,1:49.723,,,Mechanical failure on lap 71
Zandvoort,15,3,Franc Abel,Shell Motorsports,Soft,2,11,1:48.891,,,Mechanical failure on lap 68
Zandvoort,16,17,Marek Madeira,Dacia Racing Team,Medium,2,3,1:49.388,,,Tyre failure on lap 68
Zandvoort,17,9,Kanno Sora,LFL Engineering,Medium,0,3,1:49.250,,,Mechanical failure on lap 15
Zandvoort,18,14,Aleksa Kozlov,LFL Engineering,Medium,0,0,1:50.291,,,Crashed on lap 2
