Lap,Event
1,Franc Abel sets the fastest lap: 1:22.947
1,Eli Huertez sets the fastest lap: 1:22.623
1,Kanno Sora overtook Monica Niculescu for P6
2,Clara Longo overtook Niamh Murphy for P13
2,Kanno Sora overtook Berend Boer for P3
2,Aleksa Kozlov overtook Franc Abel for P1
3,Ye Li overtook Ananda Chohan for P16
3,Ananda Chohan overtook Damien Quibuyen for P15
3,Al Fabet overtook Fidan Basak for P9
3,Fidan Basak overtook Jamar Henry for P8
3,Eli Huertez overtook Mark Graham for P4
3,Mark Graham overtook Berend Boer for P3
3,Berend Boer overtook Aleksa Kozlov for P2
3,Aleksa Kozlov overtook Franc Abel for P1
4,Jamar Henry overtook Sydney Aspen for P10
4,Kanno Sora overtook Monica Niculescu for P7
4,Berend Boer overtook Eli Huertez for P4
4,Eli Huertez overtook Aleksa Kozlov for P3
4,Aleksa Kozlov overtook Mark Graham for P2
5,Liesje Roser overtook Sydney Aspen for P11
5,Monica Niculescu overtook Berend Boer for P7
5,Al Fabet overtook Eli Huertez for P5
5,Eli Huertez overtook Kanno Sora for P4
5,Kanno Sora overtook Mark Graham for P3
6,Jamar Henry overtook Damien Quibuyen for P11
6,Sydney Aspen overtook Monica Niculescu for P9
6,Eli Huertez overtook Aleksa Kozlov for P4
6,Kanno Sora overtook Mark Graham for P2
6,Mark Graham overtook Franc Abel for P1
7,Clara Longo overtook Ananda Chohan for P17
7,Ananda Chohan overtook Ye Li for P16
7,Liesje Roser overtook Jamar Henry for P11
7,Fidan Basak overtook Berend Boer for P9
7,Eli Huertez overtook Al Fabet for P4
7,Al Fabet overtook Mark Graham for P3
7,Kanno Sora overtook Franc Abel for P1
8,Clara Longo overtook Ananda Chohan for P17
8,Sydney Aspen overtook Liesje Roser for P10
8,Monica Niculescu overtook Aleksa Kozlov for P6
8,Aleksa Kozlov overtook Al Fabet for P5
8,Al Fabet overtook Mark Graham for P4
9,Aida Haque overtook Niamh Murphy for P15
9,Jamar Henry overtook Sydney Aspen for P10
9,Berend Boer overtook Monica Niculescu for P8
9,Al Fabet overtook Aleksa Kozlov for P6
