Track,Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
Silverstone,1,3,Sydney Aspen,Villiuride Racing,Soft,2,9,1:22.620,0.000,0.000,Running
Silverstone,2,1,Jamar Henry,Trike Motorsports,Soft,2,7,1:22.810,5.354,5.354,Running
Silverstone,3,12,Aleksa Kozlov,LFL Engineering,Soft,2,15,1:22.700,14.763,9.410,Running
Silverstone,4,8,Franc Abel,Orange Wheel Racing,Hard,1,11,1:23.666,15.459,0.695,Running
Silverstone,5,10,Kanno Sora,LFL Engineering,Soft,1,8,1:23.329,15.524,0.065,Running
Silverstone,6,13,Ananda Chohan,Mercedes AMG Motorsport,Hard,1,13,1:23.248,16.959,1.435,Running
Silverstone,7,9,Aida Haque,Scuderia Ivanov Racing,Soft,2,10,1:22.813,17.009,0.050,Running
Silverstone,8,6,Damien Quibuyen,Mercedes AMG Motorsport,Soft,2,9,1:22.996,17.540,0.531,Running
Silverstone,9,5,Berend Boer,Orange Wheel Racing,Soft,2,17,1:22.868,18.235,0.695,Running
Silverstone,10,11,Monica Niculescu,Dacia Racing Team,Soft,2,11,1:22.830,20.084,1.848,Running
Silverstone,11,14,Eli Huertez,Pulang Kabayo Racing,Soft,1,9,1:23.212,20.572,0.488,Running
Silverstone,12,7,Ye Li,Racing Life,Soft,2,8,1:22.161,22.546,1.975,Running
Silverstone,13,16,Nelson Ramsey,Scuderia Ivanov Racing,Soft,1,8,1:23.173,23.273,0.727,Running
Silverstone,14,17,Fidan Basak,Pulang Kabayo Racing,Soft,2,9,1:23.096,26.934,3.661,Running
Silverstone,15,19,Thorleif Valtyrsdotter,OHSN Racing,Hard,1,8,1:23.819,27.976,1.042,Running
Silverstone,16,20,Erwin Kramer,OHSN Racing,Soft,1,6,1:23.404,36.171,8.195,Running
Silverstone,17,18,Liesje Roser,Dacia Racing Team,Hard,1,3,1:23.751,39.658,3.487,Running
Silverstone,18,4,Al Fabet,Villiuride Racing,Soft,1,13,1:23.043,,,Crashed on lap 51
Silverstone,19,2,Mark Graham,Trike Motorsports,Medium,0,6,1:23.778,,,Crashed on lap 17
Silverstone,20,15,Niamh Murphy,Racing Life,Medium,0,2,1:23.368,,,Crashed on lap 10
