Track,Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
Mugello,1,4,Berend Boer,Shell Motorsports,Hard,1,9,1:49.372,0.000,0.000,Running
Mugello,2,3,Jamar Henry,Trike Motorsports,Hard,1,16,1:49.830,6.079,6.079,Running
Mugello,3,16,Niamh Murphy,Racing Life,Medium,2,15,1:48.836,7.160,1.081,Running
Mugello,4,5,Eli Huertez,Pulang Kabayo Racing,Soft,2,13,1:49.193,7.842,0.682,Running
Mugello,5,6,Sydney Aspen,Villiuride Racing,Hard,1,14,1:49.381,7.892,0.050,Running
Mugello,6,8,Kanno Sora,LFL Engineering,Hard,1,13,1:49.335,10.680,2.789,Running
Mugello,7,1,Franc Abel,Shell Motorsports,Soft,2,4,1:49.131,10.730,0.050,Running
Mugello,8,11,Damien Quibuyen,Mercedes AMG Motorsport,Soft,2,8,1:49.188,20.545,9.815,Running
Mugello,9,14,Ananda Chohan,Mercedes AMG Motorsport,Hard,1,10,1:49.369,24.347,3.802,Running
Mugello,10,7,Al Fabet,Villiuride Racing,Soft,2,4,1:49.304,28.327,3.979,Running
Mugello,11,12,Liesje Roser,Dacia Racing Team,Soft,2,12,1:48.936,30.145,1.818,Running
Mugello,12,10,Aleksa Kozlov,LFL Engineering,Hard,2,7,1:49.472,38.069,7.923,Running
Mugello,13,17,Aida Haque,Icarus,Hard,1,1,1:49.964,41.109,3.041,Running
Mugello,14,18,Clara Longo,Icarus,Medium,1,5,1:50.083,46.130,5.021,Running
Mugello,15,9,Fidan Basak,Pulang Kabayo Racing,Hard,1,4,1:49.144,,,Mechanical failure on lap 32
Mugello,16,15,Marek Madeira,Dacia Racing Team,Hard,1,3,1:49.691,,,Mechanical failure on lap 32
Mugello,17,2,Mark Graham,Trike Motorsports,Hard,1,7,1:48.946,,,Crashed on lap 29
Mugello,18,13,Ye Li,Racing Life,Medium,0,1,1:51.185,,,Crashed on lap 6
