Lap,Position,Last Lap Position,Diff,Driver,Team,Tyre,Lap Time,Gap Ahead,Gap to Leader,Status
1,1,1,0,Mark Graham,Trike Motorsports,Soft,1:49.236,-,-,Running
1,2,2,0,Ye Li,Racing Life,Soft,1:49.288,+0.302,+0.302,Running
1,3,3,0,Berend Boer,Shell Motorsports,Soft,1:50.724,+0.436,+0.738,Running
1,4,4,0,Kanno Sora,LFL Engineering,Medium,1:49.874,+0.451,+1.188,Running
1,5,5,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:50.725,+0.050,+1.238,Running
1,6,6,0,Monica Niculescu,Dacia Racing Team,Soft,1:50.648,+0.923,+2.162,Running
1,7,7,0,Aleksa Kozlov,LFL Engineering,Medium,1:49.878,+0.230,+2.392,Running
1,8,8,0,Franc Abel,Shell Motorsports,Hard,1:52.331,+0.203,+2.595,Running
1,9,9,0,Jamar Henry,Trike Motorsports,Medium,1:51.168,+0.336,+2.931,Running
1,10,10,0,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:51.708,+0.040,+2.971,Running
1,11,11,0,Liesje Roser,Dacia Racing Team,Soft,1:49.878,+0.183,+3.154,Running
1,12,12,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:50.441,+0.050,+3.204,Running
1,13,13,0,Sydney Aspen,Villiuride Racing,Medium,1:51.685,+0.494,+3.698,Running
1,14,14,0,Niamh Murphy,Racing Life,Medium,1:51.203,+0.518,+4.217,Running
1,15,15,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:50.821,+0.118,+4.335,Running
1,16,16,0,Al Fabet,Villiuride Racing,Medium,1:51.372,+0.301,+4.635,Running
1,17,17,0,Aida Haque,Icarus,Soft,1:50.669,+0.048,+4.683,Running
1,18,18,0,Clara Longo,Icarus,Hard,1:52.386,+1.967,+6.650,Running
2,1,2,1,Ye Li,Racing Life,Soft,1:50.076,-,-,Running
2,2,3,1,Berend Boer,Shell Motorsports,Soft,1:50.027,+0.388,+0.388,Running
2,3,5,2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:50.429,+0.038,+0.425,Running
2,4,1,-3,Mark Graham,Trike Motorsports,Soft,1:50.853,+0.050,+0.475,Running
2,5,4,-1,Kanno Sora,LFL Engineering,Medium,1:50.691,+1.027,+1.502,Running
2,6,10,4,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:49.224,+0.316,+1.818,Running
2,7,6,-1,Monica Niculescu,Dacia Racing Team,Soft,1:50.836,+0.803,+2.621,Running
