Lap,Event
1,Franc Abel sets the fastest lap: 1:51.015
1,Eli Huertez sets the fastest lap: 1:49.442
1,Ye Li overtook Al Fabet for P9
1,Al Fabet overtook Aleksa Kozlov for P8
2,Ananda Chohan overtook Monica Niculescu for P14
2,Fidan Basak overtook Jamar Henry for P5
2,Franc Abel overtook Berend Boer for P3
3,Franc Abel sets the fastest lap: 1:49.432
3,Niamh Murphy overtook Clara Longo for P17
3,Ananda Chohan overtook Monica Niculescu for P13
3,Liesje Roser overtook Al Fabet for P8
3,Al Fabet overtook Aleksa Kozlov for P7
3,Eli Huertez overtook Mark Graham for P1
4,Mark Graham sets the fastest lap: 1:49.233
4,Clara Longo overtook Monica Niculescu for P15
4,Monica Niculescu overtook Aida Haque for P15
4,Kanno Sora overtook Aleksa Kozlov for P12
4,Sydney Aspen overtook Ananda Chohan for P10
4,Ananda Chohan overtook Liesje Roser for P9
4,Fidan Basak overtook Ye Li for P6
4,Ye Li overtook Jamar Henry for P5
4,Jamar Henry overtook Franc Abel for P4
5,Monica Niculescu overtook Kanno Sora for P13
5,Kanno Sora overtook Al Fabet for P12
5,Sydney Aspen overtook Ananda Chohan for P9
5,Liesje Roser overtook Fidan Basak for P7
5,Fidan Basak overtook Ye Li for P6
5,Franc Abel overtook Berend Boer for P3
6,Eli Huertez sets the fastest lap: 1:48.904
6,Niamh Murphy overtook Damien Quibuyen for P17
6,Damien Quibuyen overtook Clara Longo for P16
6,Kanno Sora overtook Monica Niculescu for P13
6,Monica Niculescu overtook Aleksa Kozlov for P12
6,Aleksa Kozlov overtook Sydney Aspen for P11
6,Ananda Chohan overtook Al Fabet for P6
6,Mark Graham overtook Eli Huertez for P1
7,Damien Quibuyen overtook Clara Longo for P16
7,Aleksa Kozlov overtook Fidan Basak for P11
7,Fidan Basak overtook Ananda Chohan for P10
7,Ananda Chohan overtook Kanno Sora for P9
7,Ye Li overtook Al Fabet for P5
8,Niamh Murphy overtook Damien Quibuyen for P17
8,Aida Haque overtook Monica Niculescu for P14
9,Monica Niculescu overtook Aida Haque for P14
9,Fidan Basak overtook Aleksa Kozlov for P10
9,Aleksa Kozlov overtook Liesje Roser for P10
9,Franc Abel overtook Ye Li for P6
9,Al Fabet overtook Jamar Henry for P4
9,Mark Graham overtook Eli Huertez for P1
10,Monica Niculescu overtook Aida Haque for P14
10,Fidan Basak overtook Ananda Chohan for P11
10,Franc Abel overtook Ye Li for P6
10,Al Fabet overtook Jamar Henry for P4
10,Eli Huertez overtook Berend Boer for P2
11,Ananda Chohan pits: Soft -> Hard
11,Kanno Sora overtook Aida Haque for P13
11,Aida Haque overtook Monica Niculescu for P12
11,Monica Niculescu overtook Fidan Basak for P11
11,Fidan Basak overtook Sydney Aspen for P10
11,Sydney Aspen overtook Liesje Roser for P9
11,Aleksa Kozlov overtook Franc Abel for P7
11,Franc Abel overtook Jamar Henry for P6
11,Ye Li overtook Al Fabet for P4
12,Clara Longo overtook Niamh Murphy for P16
12,Damien Quibuyen overtook Kanno Sora for P14
12,Kanno Sora overtook Monica Niculescu for P13
12,Sydney Aspen overtook Fidan Basak for P9
13,Damien Quibuyen overtook Monica Niculescu for P14
13,Monica Niculescu overtook Kanno Sora for P13
13,Fidan Basak overtook Aleksa Kozlov for P8
13,Aleksa Kozlov overtook Franc Abel for P7
13,Al Fabet overtook Jamar Henry for P5
14,Al Fabet pits: Soft -> Medium
14,Liesje Roser pits: Soft -> Soft
14,Niamh Murphy overtook Clara Longo for P14
14,Franc Abel overtook Aleksa Kozlov for P7
14,Ye Li overtook Jamar Henry for P4
15,Berend Boer pits: Soft -> Soft
15,Aida Haque pits: Soft -> Medium
15,Aida Haque overtook Ananda Chohan for P17
15,Al Fabet overtook Berend Boer for P14
15,Kanno Sora overtook Sydney Aspen for P10
15,Jamar Henry overtook Ye Li for P3
16,Eli Huertez pits: Soft -> Medium
16,Aida Haque overtook Liesje Roser for P16
16,Eli Huertez overtook Berend Boer for P13
16,Kanno Sora overtook Sydney Aspen for P8
16,Monica Niculescu overtook Aleksa Kozlov for P6
16,Fidan Basak overtook Ye Li for P4
16,Ye Li overtook Franc Abel for P3
17,Mark Graham pits: Soft -> Medium
17,Jamar Henry pits: Soft -> Medium
17,Ye Li pits: Soft -> Medium
