Lap,Position,Last Lap Position,Diff,Driver,Team,Tyre,Lap Time,Gap Ahead,Gap to Leader,Status
1,1,1,0,Niamh Murphy,Racing Life,Soft,1:48.897,-,-,Running
1,2,2,0,Franc Abel,Shell Motorsports,Soft,1:49.699,+0.199,+0.199,Running
1,3,3,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:50.147,+0.050,+0.249,Running
1,4,4,0,Berend Boer,Shell Motorsports,Medium,1:50.116,+0.002,+0.251,Running
1,5,5,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:48.219,+0.320,+0.572,Running
1,6,6,0,Ye Li,Racing Life,Soft,1:50.090,+0.371,+0.942,Running
1,7,7,0,Jamar Henry,Trike Motorsports,Soft,1:50.021,+0.571,+1.514,Running
1,8,8,0,Mark Graham,Trike Motorsports,Medium,1:49.961,+0.050,+1.564,Running
1,9,9,0,Sydney Aspen,Villiuride Racing,Medium,1:50.608,+1.647,+3.211,Running
1,10,10,0,Kanno Sora,LFL Engineering,Medium,1:51.341,+0.232,+3.443,Running
1,11,11,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.291,+0.200,+3.643,Running
1,12,12,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:52.353,+0.063,+3.706,Running
1,13,13,0,Al Fabet,Villiuride Racing,Soft,1:50.943,+0.090,+3.796,Running
1,14,14,0,Clara Longo,Icarus,Hard,1:50.377,+0.934,+4.730,Running
1,15,15,0,Liesje Roser,Dacia Racing Team,Soft,1:51.985,+0.358,+5.088,Running
1,16,16,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:51.530,+0.045,+5.133,Running
1,17,17,0,Marek Madeira,Dacia Racing Team,Soft,1:51.072,+0.041,+5.174,Running
1,18,18,0,Aida Haque,Icarus,Medium,1:51.685,+0.363,+5.537,Running
2,1,5,4,Eli Huertez,Pulang Kabayo Racing,Soft,1:49.249,-,-,Running
2,2,2,0,Franc Abel,Shell Motorsports,Soft,1:49.718,+0.096,+0.096,Running
2,3,1,-2,Niamh Murphy,Racing Life,Soft,1:50.263,+0.346,+0.442,Running
2,4,6,2,Ye Li,Racing Life,Soft,1:50.026,+0.705,+1.147,Running
2,5,8,3,Mark Graham,Trike Motorsports,Medium,1:50.016,+0.031,+1.178,Running
2,6,4,-2,Berend Boer,Shell Motorsports,Medium,1:50.798,+0.050,+1.228,Running
2,7,3,-4,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:51.411,+0.611,+1.839,Running
2,8,9,1,Sydney Aspen,Villiuride Racing,Medium,1:50.381,+1.065,+2.904,Running
2,9,7,-2,Jamar Henry,Trike Motorsports,Soft,1:51.262,+0.050,+2.954,Running
2,10,13,3,Al Fabet,Villiuride Racing,Soft,1:51.452,+2.033,+4.988,Running
2,11,10,-1,Kanno Sora,LFL Engineering,Medium,1:51.416,+0.050,+5.038,Running
2,12,12,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:51.595,+0.355,+5.393,Running
2,13,15,2,Liesje Roser,Dacia Racing Team,Soft,1:50.176,+0.050,+5.443,Running
2,14,16,2,Fidan Basak,Pulang Kabayo Racing,Medium,1:50.319,+0.188,+5.631,Running
2,15,17,2,Marek Madeira,Dacia Racing Team,Soft,1:50.818,+0.541,+6.172,Running
2,16,18,2,Aida Haque,Icarus,Medium,1:50.766,+0.218,+6.390,Running
2,17,14,-3,Clara Longo,Icarus,Hard,1:51.531,+0.050,+6.440,Running
2,18,11,-7,Aleksa Kozlov,LFL Engineering,Medium,1:50.291,+0.200,+3.643,Crashed on lap 2
3,1,2,1,Franc Abel,Shell Motorsports,Soft,1:49.182,-,-,Running
3,2,1,-1,Eli Huertez,Pulang Kabayo Racing,Soft,1:50.714,+1.435,+1.435,Running
3,3,3,0,Niamh Murphy,Racing Life,Soft,1:50.814,+0.425,+1.860,Running
3,4,4,0,Ye Li,Racing Life,Soft,1:50.041,+0.050,+1.910,Running
3,5,6,1,Berend Boer,Shell Motorsports,Medium,1:50.097,+0.018,+1.928,Running
3,6,9,3,Jamar Henry,Trike Motorsports,Soft,1:49.166,+0.914,+2.842,Running
3,7,5,-2,Mark Graham,Trike Motorsports,Medium,1:51.627,+0.685,+3.527,Running
3,8,7,-1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:51.395,+0.429,+3.956,Running
3,9,10,1,Al Fabet,Villiuride Racing,Soft,1:50.104,+1.198,+5.154,Running
3,10,8,-2,Sydney Aspen,Villiuride Racing,Medium,1:51.578,+0.050,+5.204,Running
3,11,13,2,Liesje Roser,Dacia Racing Team,Soft,1:50.486,+0.559,+5.763,Running
3,12,16,4,Aida Haque,Icarus,Medium,1:49.700,+1.048,+6.811,Running
3,13,11,-2,Kanno Sora,LFL Engineering,Medium,1:51.260,+0.077,+6.888,Running
3,14,12,-2,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:50.823,+0.050,+6.938,Running
3,15,15,0,Marek Madeira,Dacia Racing Team,Soft,1:50.703,+0.658,+7.596,Running
3,16,14,-2,Fidan Basak,Pulang Kabayo Racing,Medium,1:51.582,+0.338,+7.935,Running
3,17,17,0,Clara Longo,Icarus,Hard,1:51.127,+0.354,+8.288,Running
3,18,18,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.291,+0.200,+3.643,Crashed on lap 2
4,1,1,0,Franc Abel,Shell Motorsports,Soft,1:50.263,-,-,Running
4,2,4,2,Ye Li,Racing Life,Soft,1:48.851,+0.498,+0.498,Running
4,3,2,-1,Eli Huertez,Pulang Kabayo Racing,Soft,1:49.631,+0.306,+0.803,Running
4,4,5,1,Berend Boer,Shell Motorsports,Medium,1:50.347,+1.208,+2.012,Running
4,5,6,1,Jamar Henry,Trike Motorsports,Soft,1:49.443,+0.011,+2.022,Running
4,6,3,-3,Niamh Murphy,Racing Life,Soft,1:51.427,+1.002,+3.024,Running
4,7,7,0,Mark Graham,Trike Motorsports,Medium,1:50.532,+0.772,+3.796,Running
4,8,8,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:50.769,+0.666,+4.462,Running
4,9,10,1,Sydney Aspen,Villiuride Racing,Medium,1:50.293,+0.684,+5.146,Running
4,10,12,2,Aida Haque,Icarus,Medium,1:49.683,+0.038,+5.184,Running
4,11,9,-2,Al Fabet,Villiuride Racing,Soft,1:50.305,+0.012,+5.196,Running
4,12,11,-1,Liesje Roser,Dacia Racing Team,Soft,1:51.077,+1.381,+6.577,Running
4,13,14,1,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:51.017,+1.114,+7.692,Running
4,14,13,-1,Kanno Sora,LFL Engineering,Medium,1:51.650,+0.264,+7.955,Running
4,15,16,1,Fidan Basak,Pulang Kabayo Racing,Medium,1:50.334,+0.050,+8.005,Running
4,16,15,-1,Marek Madeira,Dacia Racing Team,Soft,1:51.793,+1.121,+9.126,Running
4,17,17,0,Clara Longo,Icarus,Hard,1:52.546,+1.445,+10.572,Running
4,18,18,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.291,+0.200,+3.643,Crashed on lap 2
5,1,1,0,Franc Abel,Shell Motorsports,Soft,1:49.442,-,-,Running
5,2,2,0,Ye Li,Racing Life,Soft,1:50.889,+1.945,+1.945,Running
5,3,3,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:50.950,+0.367,+2.311,Running
5,4,4,0,Berend Boer,Shell Motorsports,Medium,1:51.808,+0.996,+3.307,Running
5,5,5,0,Jamar Henry,Trike Motorsports,Soft,1:50.777,+0.050,+3.357,Running
5,6,6,0,Niamh Murphy,Racing Life,Soft,1:51.266,+0.970,+4.327,Running
5,7,8,1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:50.143,+0.471,+4.798,Running
5,8,7,-1,Mark Graham,Trike Motorsports,Medium,1:51.828,+1.183,+5.981,Running
5,9,9,0,Sydney Aspen,Villiuride Racing,Medium,1:50.327,+0.050,+6.031,Running
5,10,12,2,Liesje Roser,Dacia Racing Team,Soft,1:49.845,+0.101,+6.132,Running
5,11,11,0,Al Fabet,Villiuride Racing,Soft,1:51.306,+0.928,+7.060,Running
5,12,15,3,Fidan Basak,Pulang Kabayo Racing,Medium,1:49.393,+0.549,+7.608,Running
5,13,10,-3,Aida Haque,Icarus,Medium,1:51.917,+0.050,+7.658,Running
5,14,16,2,Marek Madeira,Dacia Racing Team,Soft,1:49.551,+1.576,+9.235,Running
5,15,14,-1,Kanno Sora,LFL Engineering,Medium,1:50.848,+0.126,+9.361,Running
5,16,13,-3,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:52.176,+1.064,+10.425,Running
5,17,17,0,Clara Longo,Icarus,Hard,1:52.478,+3.182,+13.607,Running
5,18,18,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.291,+0.200,+3.643,Crashed on lap 2
6,1,1,0,Franc Abel,Shell Motorsports,Soft,1:51.694,-,-,Running
6,2,3,1,Eli Huertez,Pulang Kabayo Racing,Soft,1:48.574,+0.050,+0.050,Running
6,3,2,-1,Ye Li,Racing Life,Soft,1:49.951,+1.010,+1.060,Running
6,4,5,1,Jamar Henry,Trike Motorsports,Soft,1:49.796,+1.258,+2.318,Running
6,5,6,1,Niamh Murphy,Racing Life,Soft,1:49.634,+0.808,+3.126,Running
6,6,7,1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:51.043,+0.771,+3.897,Running
6,7,4,-3,Berend Boer,Shell Motorsports,Medium,1:51.475,+0.050,+3.947,Running
6,8,8,0,Mark Graham,Trike Motorsports,Medium,1:50.519,+1.717,+5.664,Running
6,9,10,1,Liesje Roser,Dacia Racing Team,Soft,1:51.183,+0.816,+6.479,Running
6,10,9,-1,Sydney Aspen,Villiuride Racing,Medium,1:51.551,+0.267,+6.746,Running
6,11,13,2,Aida Haque,Icarus,Medium,1:49.996,+0.073,+6.819,Running
6,12,12,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:50.735,+0.689,+7.508,Running
6,13,11,-2,Al Fabet,Villiuride Racing,Soft,1:51.333,+0.050,+7.557,Running
6,14,14,0,Marek Madeira,Dacia Racing Team,Soft,1:49.388,+0.230,+7.787,Running
6,15,16,1,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:51.386,+2.042,+9.829,Running
6,16,15,-1,Kanno Sora,LFL Engineering,Medium,1:51.354,+0.050,+9.879,Running
6,17,17,0,Clara Longo,Icarus,Hard,1:52.061,+4.953,+14.832,Running
6,18,18,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.291,+0.200,+3.643,Crashed on lap 2
7,1,1,0,Franc Abel,Shell Motorsports,Soft,1:50.369,-,-,Running
7,2,3,1,Ye Li,Racing Life,Soft,1:49.555,+0.005,+0.005,Running
7,3,2,-1,Eli Huertez,Pulang Kabayo Racing,Soft,1:50.375,+0.050,+0.055,Running
7,4,4,0,Jamar Henry,Trike Motorsports,Soft,1:50.057,+1.951,+2.006,Running
7,5,5,0,Niamh Murphy,Racing Life,Soft,1:50.596,+1.347,+3.353,Running
7,6,6,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:49.859,+0.034,+3.387,Running
7,7,9,2,Liesje Roser,Dacia Racing Team,Soft,1:50.244,+2.139,+5.526,Running
7,8,7,-1,Berend Boer,Shell Motorsports,Medium,1:51.998,+0.050,+5.576,Running
7,9,8,-1,Mark Graham,Trike Motorsports,Medium,1:52.137,+1.856,+7.432,Running
7,10,14,4,Marek Madeira,Dacia Racing Team,Soft,1:50.158,+0.143,+7.575,Running
7,11,10,-1,Sydney Aspen,Villiuride Racing,Medium,1:51.357,+0.158,+7.734,Running
7,12,11,-1,Aida Haque,Icarus,Medium,1:52.020,+0.608,+8.342,Running
7,13,13,0,Al Fabet,Villiuride Racing,Soft,1:51.204,+0.050,+8.392,Running
7,14,16,2,Kanno Sora,LFL Engineering,Medium,1:49.250,+0.368,+8.760,Running
7,15,12,-3,Fidan Basak,Pulang Kabayo Racing,Medium,1:51.868,+0.246,+9.006,Running
7,16,15,-1,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:50.631,+1.085,+10.091,Running
7,17,17,0,Clara Longo,Icarus,Hard,1:52.864,+7.237,+17.327,Running
7,18,18,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.291,+0.200,+3.643,Crashed on lap 2
8,1,3,2,Eli Huertez,Pulang Kabayo Racing,Soft,1:49.966,-,-,Running
8,2,1,-1,Franc Abel,Shell Motorsports,Soft,1:50.652,+0.402,+0.402,Running
8,3,2,-1,Ye Li,Racing Life,Soft,1:50.468,+0.050,+0.452,Running
8,4,4,0,Jamar Henry,Trike Motorsports,Soft,1:49.051,+0.128,+0.580,Running
8,5,6,1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:50.607,+3.392,+3.973,Running
8,6,5,-1,Niamh Murphy,Racing Life,Soft,1:50.678,+0.037,+4.009,Running
8,7,8,1,Berend Boer,Shell Motorsports,Medium,1:50.252,+1.797,+5.807,Running
8,8,7,-1,Liesje Roser,Dacia Racing Team,Soft,1:51.248,+0.366,+6.172,Running
8,9,9,0,Mark Graham,Trike Motorsports,Medium,1:48.812,+0.050,+6.222,Running
8,10,13,3,Al Fabet,Villiuride Racing,Soft,1:49.432,+1.580,+7.802,Running
8,11,11,0,Sydney Aspen,Villiuride Racing,Medium,1:50.963,+0.873,+8.675,Running
8,12,14,2,Kanno Sora,LFL Engineering,Medium,1:50.023,+0.086,+8.761,Running
8,13,10,-3,Marek Madeira,Dacia Racing Team,Soft,1:51.713,+0.106,+8.867,Running
8,14,15,1,Fidan Basak,Pulang Kabayo Racing,Medium,1:49.933,+0.050,+8.917,Running
8,15,12,-3,Aida Haque,Icarus,Medium,1:52.253,+1.656,+10.573,Running
8,16,16,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:51.787,+1.282,+11.856,Running
8,17,17,0,Clara Longo,Icarus,Hard,1:52.734,+8.184,+20.040,Running
8,18,18,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.291,+0.200,+3.643,Crashed on lap 2
9,1,1,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:49.844,-,-,Running
9,2,2,0,Franc Abel,Shell Motorsports,Soft,1:49.082,+0.050,+0.050,Running
9,3,3,0,Ye Li,Racing Life,Soft,1:49.582,+0.550,+0.600,Running
9,4,4,0,Jamar Henry,Trike Motorsports,Soft,1:51.168,+1.714,+2.313,Running
9,5,5,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:50.526,+2.751,+5.064,Running
9,6,6,0,Niamh Murphy,Racing Life,Soft,1:50.711,+0.222,+5.286,Running
9,7,7,0,Berend Boer,Shell Motorsports,Medium,1:50.075,+1.162,+6.448,Running
9,8,9,1,Mark Graham,Trike Motorsports,Medium,1:50.427,+0.768,+7.215,Running
9,9,8,-1,Liesje Roser,Dacia Racing Team,Soft,1:50.786,+0.308,+7.524,Running
9,10,11,1,Sydney Aspen,Villiuride Racing,Medium,1:50.532,+1.067,+8.591,Running
9,11,10,-1,Al Fabet,Villiuride Racing,Soft,1:50.273,+0.050,+8.641,Running
9,12,14,2,Fidan Basak,Pulang Kabayo Racing,Medium,1:50.657,+1.499,+10.141,Running
9,13,12,-1,Kanno Sora,LFL Engineering,Medium,1:51.483,+0.670,+10.810,Running
9,14,13,-1,Marek Madeira,Dacia Racing Team,Soft,1:51.973,+0.596,+11.407,Running
9,15,16,1,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:50.275,+0.545,+11.952,Running
9,16,15,-1,Aida Haque,Icarus,Medium,1:50.863,+0.050,+12.002,Running
9,17,17,0,Clara Longo,Icarus,Hard,1:52.479,+11.083,+23.085,Running
9,18,18,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.291,+0.200,+3.643,Crashed on lap 2
10,1,2,1,Franc Abel,Shell Motorsports,Soft,1:50.379,-,-,Running
10,2,1,-1,Eli Huertez,Pulang Kabayo Racing,Soft,1:50.510,+0.081,+0.081,Running
10,3,3,0,Ye Li,Racing Life,Soft,1:51.370,+1.460,+1.540,Running
10,4,4,0,Jamar Henry,Trike Motorsports,Soft,1:50.605,+0.949,+2.489,Running
10,5,5,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:51.350,+3.496,+5.985,Running
10,6,7,1,Berend Boer,Shell Motorsports,Medium,1:50.957,+0.063,+6.048,Running
10,7,6,-1,Niamh Murphy,Racing Life,Soft,1:51.242,+0.050,+6.098,Running
10,8,9,1,Liesje Roser,Dacia Racing Team,Soft,1:50.412,+1.408,+7.507,Running
10,9,8,-1,Mark Graham,Trike Motorsports,Medium,1:51.749,+1.028,+8.535,Running
10,10,11,1,Al Fabet,Villiuride Racing,Soft,1:51.010,+0.054,+8.589,Running
10,11,10,-1,Sydney Aspen,Villiuride Racing,Medium,1:50.477,+0.050,+8.639,Running
10,12,12,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:49.890,+0.962,+9.601,Running
10,13,13,0,Kanno Sora,LFL Engineering,Medium,1:50.394,+1.173,+10.775,Running
10,14,14,0,Marek Madeira,Dacia Racing Team,Soft,1:51.020,+1.223,+11.997,Running
10,15,16,1,Aida Haque,Icarus,Medium,1:50.680,+0.255,+12.253,Running
10,16,15,-1,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:52.018,+1.288,+13.541,Running
10,17,17,0,Clara Longo,Icarus,Hard,1:51.641,+10.755,+24.296,Running
10,18,18,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.291,+0.200,+3.643,Crashed on lap 2
11,1,2,1,Eli Huertez,Pulang Kabayo Racing,Soft,1:50.336,-,-,Running
11,2,3,1,Ye Li,Racing Life,Soft,1:49.227,+0.350,+0.350,Running
11,3,1,-2,Franc Abel,Shell Motorsports,Soft,1:51.190,+0.423,+0.773,Running
11,4,4,0,Jamar Henry,Trike Motorsports,Soft,1:49.593,+0.892,+1.665,Running
11,5,5,0,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:51.035,+4.212,+5.877,Running
11,6,7,1,Niamh Murphy,Racing Life,Soft,1:50.245,+0.050,+5.927,Running
11,7,6,-1,Berend Boer,Shell Motorsports,Medium,1:51.429,+0.626,+6.553,Running
11,8,8,0,Liesje Roser,Dacia Racing Team,Soft,1:50.037,+0.574,+7.127,Running
11,9,11,2,Sydney Aspen,Villiuride Racing,Medium,1:49.533,+0.628,+7.756,Running
11,10,10,0,Al Fabet,Villiuride Racing,Soft,1:50.435,+0.852,+8.608,Running
11,11,9,-2,Mark Graham,Trike Motorsports,Medium,1:51.150,+0.660,+9.268,Running
11,12,13,1,Kanno Sora,LFL Engineering,Medium,1:50.292,+1.382,+10.650,Running
11,13,12,-1,Fidan Basak,Pulang Kabayo Racing,Medium,1:51.875,+0.410,+11.060,Running
11,14,14,0,Marek Madeira,Dacia Racing Team,Soft,1:50.558,+1.079,+12.139,Running
11,15,15,0,Aida Haque,Icarus,Medium,1:52.069,+1.767,+13.905,Running
11,16,16,0,Ananda Chohan,Mercedes AMG Motorsport,Hard,1:51.213,+0.432,+14.337,Running
11,17,17,0,Clara Longo,Icarus,Hard,1:52.436,+11.979,+26.316,Running
11,18,18,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.291,+0.200,+3.643,Crashed on lap 2
12,1,1,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:49.159,-,-,Running
12,2,2,0,Ye Li,Racing Life,Soft,1:50.008,+1.199,+1.199,Running
12,3,3,0,Franc Abel,Shell Motorsports,Soft,1:51.039,+1.035,+2.234,Running
12,4,4,0,Jamar Henry,Trike Motorsports,Soft,1:49.778,+0.050,+2.284,Running
12,5,6,1,Niamh Murphy,Racing Life,Soft,1:49.906,+4.390,+6.674,Running
12,6,5,-1,Damien Quibuyen,Mercedes AMG Motorsport,Medium,1:50.275,+0.319,+6.993,Running
12,7,7,0,Berend Boer,Shell Motorsports,Medium,1:51.535,+1.201,+8.194,Running
12,8,8,0,Liesje Roser,Dacia Racing Team,Soft,1:50.276,+0.050,+8.244,Running
12,9,9,0,Sydney Aspen,Villiuride Racing,Medium,1:50.346,+0.699,+8.943,Running
12,10,11,1,Mark Graham,Trike Motorsports,Medium,1:50.461,+1.411,+10.354,Running
12,11,10,-1,Al Fabet,Villiuride Racing,Soft,1:50.955,+0.050,+10.404,Running
