Lap,Event
1,Berend Boer sets the fastest lap: 1:50.724
1,Mark Graham sets the fastest lap: 1:49.236
1,Liesje Roser overtook Eli Huertez for P11
1,Kanno Sora overtook Damien Quibuyen for P4
2,Ananda Chohan sets the fastest lap: 1:49.224
2,Jamar Henry overtook Liesje Roser for P12
2,Aida Haque overtook Aleksa Kozlov for P10
2,Damien Quibuyen overtook Mark Graham for P3
3,Damien Quibuyen retired
3,Niamh Murphy overtook Sydney Aspen for P15
3,Fidan Basak overtook Al Fabet for P13
3,Eli Huertez overtook Aida Haque for P7
3,Kanno Sora overtook Mark Graham for P3
4,Ye Li sets the fastest lap: 1:48.985
4,Sydney Aspen overtook Al Fabet for P15
4,Jamar Henry overtook Monica Niculescu for P11
4,Monica Niculescu overtook Liesje Roser for P10
4,Liesje Roser overtook Aleksa Kozlov for P9
4,Aida Haque overtook Ananda Chohan for P5
5,Aleksa Kozlov overtook Fidan Basak for P12
5,Fidan Basak overtook Liesje Roser for P11
5,Franc Abel overtook Jamar Henry for P9
5,Eli Huertez overtook Ananda Chohan for P5
6,Aleksa Kozlov overtook Liesje Roser for P11
6,Aida Haque overtook Franc Abel for P8
7,Fidan Basak overtook Aleksa Kozlov for P13
7,Liesje Roser overtook Al Fabet for P11
7,Mark Graham overtook Berend Boer for P2
8,Mark Graham sets the fastest lap: 1:48.700
8,Fidan Basak overtook Sydney Aspen for P14
8,Aleksa Kozlov overtook Al Fabet for P12
8,Berend Boer overtook Ye Li for P2
9,Fidan Basak overtook Al Fabet for P14
9,Al Fabet overtook Sydney Aspen for P13
9,Aleksa Kozlov overtook Jamar Henry for P11
9,Monica Niculescu overtook Eli Huertez for P5
9,Eli Huertez overtook Ananda Chohan for P4
10,Jamar Henry retired
10,Fidan Basak overtook Aleksa Kozlov for P12
10,Aleksa Kozlov overtook Franc Abel for P11
10,Franc Abel overtook Al Fabet for P10
10,Al Fabet overtook Liesje Roser for P9
10,Kanno Sora overtook Aida Haque for P7
11,Aleksa Kozlov pits: Medium -> Hard
11,Ananda Chohan overtook Aida Haque for P6
11,Mark Graham overtook Ye Li for P1
12,Aida Haque overtook Ananda Chohan for P6
12,Ananda Chohan overtook Eli Huertez for P5
12,Monica Niculescu overtook Berend Boer for P3
13,Sydney Aspen retired
13,Franc Abel overtook Fidan Basak for P11
14,Liesje Roser overtook Franc Abel for P10
14,Franc Abel overtook Fidan Basak for P9
14,Ananda Chohan overtook Eli Huertez for P6
14,Eli Huertez overtook Aida Haque for P5
15,Monica Niculescu pits: Soft -> Medium
15,Ananda Chohan pits: Soft -> Hard
15,Aida Haque overtook Eli Huertez for P4
16,Mark Graham pits: Soft -> Hard
16,Eli Huertez pits: Soft -> Medium
16,Liesje Roser pits: Soft -> Medium
16,Niamh Murphy overtook Mark Graham for P8
16,Al Fabet overtook Franc Abel for P6
17,Franc Abel overtook Fidan Basak for P5
17,Berend Boer overtook Ye Li for P1
18,Berend Boer pits: Soft -> Hard
18,Aida Haque pits: Soft -> Hard
18,Eli Huertez overtook Aida Haque for P12
19,Clara Longo overtook Eli Huertez for P11
19,Mark Graham overtook Monica Niculescu for P8
19,Monica Niculescu overtook Berend Boer for P7
20,Ananda Chohan overtook Monica Niculescu for P9
21,Berend Boer overtook Niamh Murphy for P6
22,Ye Li pits: Soft -> Medium
22,Al Fabet pits: Medium -> Hard
22,Ye Li overtook Ananda Chohan for P8
22,Niamh Murphy overtook Berend Boer for P4
23,Fidan Basak pits: Medium -> Hard
23,Eli Huertez overtook Ananda Chohan for P8
23,Mark Graham overtook Monica Niculescu for P6
23,Ye Li overtook Berend Boer for P4
24,Kanno Sora pits: Medium -> Hard
24,Berend Boer overtook Ye Li for P2
25,Ananda Chohan overtook Eli Huertez for P7
25,Mark Graham overtook Niamh Murphy for P4
26,Al Fabet overtook Clara Longo for P12
26,Ananda Chohan overtook Monica Niculescu for P7
26,Monica Niculescu overtook Eli Huertez for P6
26,Berend Boer overtook Ye Li for P2
27,Monica Niculescu overtook Ananda Chohan for P7
27,Ananda Chohan overtook Niamh Murphy for P6
28,Monica Niculescu overtook Mark Graham for P4
29,Fidan Basak retired
29,Kanno Sora overtook Aleksa Kozlov for P10
29,Eli Huertez overtook Mark Graham for P5
29,Berend Boer overtook Ye Li for P2
30,Kanno Sora overtook Aleksa Kozlov for P10
30,Monica Niculescu overtook Eli Huertez for P5
30,Eli Huertez overtook Mark Graham for P4
30,Berend Boer overtook Ye Li for P2
31,Niamh Murphy pits: Medium -> Soft
31,Mark Graham overtook Monica Niculescu for P5
31,Ye Li overtook Berend Boer for P2
33,Berend Boer overtook Ye Li for P2
34,Franc Abel pits: Hard -> Soft
34,Monica Niculescu pits: Medium -> Medium
34,Al Fabet overtook Liesje Roser for P10
35,Liesje Roser pits: Medium -> Medium
35,Clara Longo pits: Hard -> Soft
36,Aleksa Kozlov pits: Hard -> Hard
36,Clara Longo overtook Aleksa Kozlov for P13
37,Niamh Murphy overtook Monica Niculescu for P10
38,Eli Huertez pits: Medium -> Soft
40,Kanno Sora overtook Aida Haque for P6
40,Mark Graham overtook Ananda Chohan for P3
41,Ananda Chohan overtook Mark Graham for P3
43,Eli Huertez overtook Niamh Murphy for P9
43,Franc Abel overtook Ananda Chohan for P4
44,Franc Abel sets the fastest lap: 1:48.680
44,Eli Huertez overtook Niamh Murphy for P9
44,Niamh Murphy overtook Al Fabet for P9
44,Kanno Sora overtook Aida Haque for P6
50,Al Fabet overtook Niamh Murphy for P9
50,Mark Graham overtook Berend Boer for P3
50,Berend Boer overtook Franc Abel for P2
53,Ye Li overtook Berend Boer for P1
