Lap,Position,Last Lap Position,Diff,Driver,Team,Tyre,Lap Time,Gap Ahead,Gap to Leader,Status
1,1,1,0,Al Fabet,Villiuride Racing,Hard,1:23.450,-,-,Running
1,2,2,0,Sydney Aspen,Villiuride Racing,Soft,1:23.769,+0.070,+0.070,Running
1,3,3,0,Jamar Henry,Trike Motorsports,Soft,1:24.497,+0.228,+0.298,Running
1,4,4,0,Ye Li,Racing Life,Soft,1:23.180,+0.182,+0.480,Running
1,5,5,0,Berend Boer,Orange Wheel Racing,Soft,1:23.734,+0.054,+0.534,Running
1,6,6,0,Mark Graham,Trike Motorsports,Medium,1:24.624,+0.140,+0.674,Running
1,7,7,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.696,+1.072,+1.747,Running
1,8,8,0,Aleksa Kozlov,LFL Engineering,Soft,1:23.498,+0.301,+2.048,Running
1,9,9,0,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.747,+0.500,+2.547,Running
1,10,10,0,Franc Abel,Orange Wheel Racing,Medium,1:25.217,+0.220,+2.767,Running
1,11,11,0,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.196,+0.229,+2.997,Running
1,12,12,0,Niamh Murphy,Racing Life,Medium,1:23.830,+0.003,+3.000,Running
1,13,13,0,Monica Niculescu,Dacia Racing Team,Soft,1:24.750,+0.050,+3.050,Running
1,14,14,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.382,+0.382,+3.432,Running
1,15,15,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.142,+0.510,+3.942,Running
1,16,16,0,Kanno Sora,LFL Engineering,Hard,1:26.031,+0.139,+4.082,Running
1,17,17,0,Erwin Kramer,OHSN Racing,Hard,1:24.064,+0.533,+4.614,Running
1,18,18,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:25.644,+0.457,+5.072,Running
1,19,19,0,Liesje Roser,Dacia Racing Team,Medium,1:25.060,+0.038,+5.110,Running
1,20,20,0,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:24.821,+0.012,+5.122,Running
2,1,5,4,Berend Boer,Orange Wheel Racing,Soft,1:22.442,-,-,Running
2,2,4,2,Ye Li,Racing Life,Soft,1:23.103,+0.470,+0.470,Running
2,3,2,-1,Sydney Aspen,Villiuride Racing,Soft,1:23.426,+0.050,+0.520,Running
2,4,3,-1,Jamar Henry,Trike Motorsports,Soft,1:24.709,+1.510,+2.030,Running
2,5,1,-4,Al Fabet,Villiuride Racing,Hard,1:25.192,+0.185,+2.215,Running
2,6,6,0,Mark Graham,Trike Motorsports,Medium,1:24.996,+0.141,+2.357,Running
2,7,7,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.637,+0.050,+2.407,Running
2,8,8,0,Aleksa Kozlov,LFL Engineering,Soft,1:24.324,+0.237,+2.644,Running
