Lap,Event
1,Damien Quibuyen sets the fastest lap: 1:50.147
1,Berend Boer sets the fastest lap: 1:50.116
1,Franc Abel sets the fastest lap: 1:49.699
1,Niamh Murphy sets the fastest lap: 1:48.897
1,Eli Huertez sets the fastest lap: 1:48.219
1,Jamar Henry overtook Mark Graham for P7
1,Berend Boer overtook Franc Abel for P3
1,Franc Abel overtook Damien Quibuyen for P2
2,Aleksa Kozlov retired
2,Aida Haque overtook Clara Longo for P16
2,Ananda Chohan overtook Liesje Roser for P12
2,Al Fabet overtook Kanno Sora for P10
2,Sydney Aspen overtook Jamar Henry for P8
2,Mark Graham overtook Berend Boer for P5
3,Kanno Sora overtook Ananda Chohan for P13
3,Liesje Roser overtook Al Fabet for P10
3,Al Fabet overtook Sydney Aspen for P9
3,Berend Boer overtook Niamh Murphy for P4
3,Niamh Murphy overtook Ye Li for P3
4,Kanno Sora overtook Fidan Basak for P14
4,Aida Haque overtook Sydney Aspen for P10
4,Sydney Aspen overtook Al Fabet for P10
5,Fidan Basak overtook Aida Haque for P12
5,Liesje Roser overtook Mark Graham for P9
5,Mark Graham overtook Sydney Aspen for P8
5,Damien Quibuyen overtook Niamh Murphy for P6
5,Niamh Murphy overtook Berend Boer for P5
5,Berend Boer overtook Jamar Henry for P4
6,Ananda Chohan overtook Kanno Sora for P15
6,Damien Quibuyen overtook Berend Boer for P6
6,Franc Abel overtook Eli Huertez for P1
7,Aida Haque overtook Al Fabet for P12
7,Liesje Roser overtook Berend Boer for P7
7,Ye Li overtook Eli Huertez for P2
8,Marek Madeira overtook Fidan Basak for P13
8,Liesje Roser overtook Mark Graham for P8
8,Jamar Henry overtook Franc Abel for P3
8,Franc Abel overtook Ye Li for P2
9,Ananda Chohan overtook Aida Haque for P15
9,Sydney Aspen overtook Al Fabet for P10
9,Eli Huertez overtook Franc Abel for P1
10,Al Fabet overtook Sydney Aspen for P10
10,Berend Boer overtook Niamh Murphy for P6
11,Berend Boer overtook Damien Quibuyen for P6
11,Damien Quibuyen overtook Niamh Murphy for P5
12,Kanno Sora overtook Mark Graham for P11
12,Mark Graham overtook Al Fabet for P10
12,Berend Boer overtook Liesje Roser for P7
12,Franc Abel overtook Jamar Henry for P3
13,Sydney Aspen overtook Mark Graham for P9
13,Franc Abel overtook Ye Li for P3
14,Sydney Aspen overtook Al Fabet for P10
14,Berend Boer overtook Niamh Murphy for P6
15,Jamar Henry pits: Soft -> Medium
15,Al Fabet pits: Soft -> Medium
15,Kanno Sora retired
15,Marek Madeira pits: Soft -> Medium
15,Mark Graham overtook Sydney Aspen for P8
16,Eli Huertez pits: Soft -> Medium
16,Liesje Roser pits: Soft -> Medium
16,Sydney Aspen overtook Berend Boer for P5
16,Berend Boer overtook Damien Quibuyen for P4
16,Damien Quibuyen overtook Niamh Murphy for P4
16,Ye Li overtook Franc Abel for P1
17,Franc Abel pits: Soft -> Hard
17,Al Fabet overtook Liesje Roser for P13
17,Mark Graham overtook Sydney Aspen for P5
17,Niamh Murphy overtook Berend Boer for P2
19,Franc Abel overtook Aida Haque for P9
19,Aida Haque overtook Eli Huertez for P8
19,Mark Graham overtook Sydney Aspen for P5
20,Mark Graham overtook Sydney Aspen for P5
20,Sydney Aspen overtook Niamh Murphy for P4
22,Ye Li pits: Soft -> Soft
22,Niamh Murphy pits: Soft -> Soft
22,Al Fabet overtook Liesje Roser for P12
22,Jamar Henry overtook Aida Haque for P7
22,Damien Quibuyen overtook Mark Graham for P3
23,Fidan Basak pits: Medium -> Hard
23,Aida Haque pits: Medium -> Hard
23,Ye Li overtook Ananda Chohan for P8
23,Damien Quibuyen overtook Sydney Aspen for P2
24,Sydney Aspen pits: Medium -> Hard
24,Mark Graham pits: Medium -> Hard
24,Clara Longo overtook Marek Madeira for P13
24,Liesje Roser overtook Niamh Murphy for P10
24,Sydney Aspen overtook Al Fabet for P8
26,Marek Madeira overtook Clara Longo for P13
26,Mark Graham overtook Liesje Roser for P11
26,Al Fabet overtook Sydney Aspen for P9
27,Eli Huertez overtook Jamar Henry for P3
28,Aida Haque overtook Fidan Basak for P15
28,Clara Longo overtook Marek Madeira for P13
28,Liesje Roser overtook Mark Graham for P11
29,Berend Boer pits: Medium -> Hard
29,Fidan Basak overtook Aida Haque for P15
29,Clara Longo overtook Marek Madeira for P13
29,Mark Graham overtook Liesje Roser for P11
29,Damien Quibuyen overtook Eli Huertez for P1
30,Damien Quibuyen pits: Medium -> Hard
30,Aida Haque overtook Fidan Basak for P15
31,Berend Boer overtook Sydney Aspen for P8
31,Franc Abel overtook Ye Li for P3
32,Clara Longo pits: Hard -> Medium
32,Fidan Basak overtook Aida Haque for P14
32,Damien Quibuyen overtook Marek Madeira for P12
32,Ye Li overtook Franc Abel for P3
33,Mark Graham overtook Liesje Roser for P10
33,Liesje Roser overtook Sydney Aspen for P9
34,Marek Madeira pits: Medium -> Medium
35,Liesje Roser pits: Medium -> Medium
35,Sydney Aspen overtook Mark Graham for P9
35,Franc Abel overtook Ye Li for P3
36,Fidan Basak overtook Aida Haque for P12
37,Ananda Chohan overtook Al Fabet for P6
37,Eli Huertez overtook Jamar Henry for P1
38,Jamar Henry pits: Medium -> Hard
38,Al Fabet pits: Medium -> Hard
39,Eli Huertez pits: Medium -> Soft
39,Fidan Basak overtook Aida Haque for P11
39,Jamar Henry overtook Sydney Aspen for P8
39,Ananda Chohan overtook Berend Boer for P4
40,Fidan Basak overtook Aida Haque for P11
40,Sydney Aspen overtook Damien Quibuyen for P9
40,Jamar Henry overtook Mark Graham for P7
40,Franc Abel overtook Ye Li for P1
41,Clara Longo overtook Marek Madeira for P15
41,Jamar Henry overtook Ananda Chohan for P7
41,Mark Graham overtook Eli Huertez for P5
42,Jamar Henry overtook Damien Quibuyen for P7
43,Ananda Chohan pits: Hard -> Medium
43,Liesje Roser overtook Al Fabet for P12
43,Eli Huertez overtook Jamar Henry for P6
44,Ye Li pits: Soft -> Medium
44,Niamh Murphy pits: Soft -> Medium
44,Al Fabet overtook Liesje Roser for P12
44,Aida Haque overtook Niamh Murphy for P9
44,Mark Graham overtook Jamar Henry for P3
44,Jamar Henry overtook Berend Boer for P2
45,Al Fabet overtook Liesje Roser for P12
45,Damien Quibuyen overtook Mark Graham for P5
46,Marek Madeira overtook Clara Longo for P15
46,Ye Li overtook Sydney Aspen for P7
46,Damien Quibuyen overtook Eli Huertez for P4
47,Liesje Roser overtook Al Fabet for P12
47,Al Fabet overtook Fidan Basak for P11
47,Sydney Aspen overtook Ye Li for P7
48,Al Fabet overtook Liesje Roser for P12
50,Al Fabet overtook Ananda Chohan for P13
50,Mark Graham overtook Ye Li for P6
51,Liesje Roser overtook Aida Haque for P10
51,Sydney Aspen overtook Mark Graham for P7
52,Ananda Chohan overtook Aida Haque for P11
52,Sydney Aspen overtook Mark Graham for P7
52,Berend Boer overtook Ye Li for P5
52,Ye Li overtook Jamar Henry for P4
53,Ananda Chohan overtook Liesje Roser for P10
53,Berend Boer overtook Jamar Henry for P5
54,Ye Li overtook Jamar Henry for P4
55,Franc Abel pits: Hard -> Soft
55,Aida Haque pits: Hard -> Soft
55,Clara Longo pits: Medium -> Soft
55,Fidan Basak overtook Al Fabet for P12
55,Damien Quibuyen overtook Ye Li for P3
56,Fidan Basak overtook Al Fabet for P12
56,Ye Li overtook Damien Quibuyen for P2
57,Sydney Aspen pits: Hard -> Soft
57,Mark Graham pits: Hard -> Soft
57,Mark Graham overtook Sydney Aspen for P12
58,Sydney Aspen overtook Mark Graham for P12
59,Fidan Basak overtook Al Fabet for P10
